"","16154.Aligned.sortedByCoord.out.bam"
"100287102",178
"653635",7668
"102466751",0
"100302278",12
"645520",67
"79501",9
"729737",9980
"102725121",154
"102723897",7832
"102465909",0
"729759",1353
"100132287",10162
"105378947",3
"101928626",0
"102465432",11
"81399",1353
"100133331",10681
"100288069",71
"400728",0
"79854",58
"643837",7
"284593",0
"100130417",0
"148398",6
"26155",692
"339451",69
"84069",12
"84808",13
"57801",22
"9636",4
"375790",611
"105369174",0
"105378948",0
"401934",0
"54991",47
"254099",0
"406984",1
"406983",0
"554210",0
"254173",19
"8784",4
"7293",10
"51150",530
"126792",2
"388581",4
"118424",164
"6339",53
"116983",356
"102465434",0
"126789",27
"54973",454
"102465435",0
"80772",41
"83756",36
"1855",200
"102466740",0
"54587",865
"54998",59
"81669",2302
"148413",43
"55052",202
"441869",2
"643965",0
"102724312",0
"64856",18
"219293",88
"83858",589
"55210",529
"339453",4
"29101",256
"643988",1
"142678",137
"8510",128
"984",2804
"728661",2280
"8511",126
"728642",2657
"9906",2207
"65220",470
"2782",1839
"105378949",1
"163688",5
"339456",0
"85452",6
"2563",35
"5590",48
"100506504",0
"199990",80
"105378592",6
"6497",844
"105378594",12
"79906",154
"100129534",6
"11079",678
"5192",51
"9651",52
"55229",296
"388585",0
"115110",1
"8764",363
"100996583",0
"127281",11
"79258",6
"100287898",1
"140625",1
"440556",7
"63976",230
"100422968",0
"27237",12
"1953",550
"693135",0
"127262",150
"49856",160
"7161",5
"57212",204
"148870",5
"388588",0
"57470",253
"9731",760
"1677",103
"339448",250
"100133612",0
"728716",0
"284661",0
"55966",8
"100616489",0
"100616421",0
"261734",256
"8514",556
"26038",29
"6146",3760
"102724450",0
"388591",64
"23463",151
"148645",0
"390992",0
"387509",10
"11332",95
"54626",0
"83715",3
"100422975",0
"8718",170
"57449",930
"79707",529
"80835",11
"3104",251
"9903",76
"148479",132
"90326",85
"55735",587
"100505887",0
"23261",388
"9341",428
"8863",3292
"10911",7
"3604",19
"11315",2334
