"","14058.Aligned.sortedByCoord.out.bam"
"100287102",301
"653635",7449
"102466751",4
"100302278",67
"645520",280
"79501",145
"729737",7379
"102725121",276
"102723897",7149
"102465909",4
"729759",1284
"100132287",7991
"105378947",1
"101928626",0
"102465432",22
"81399",1284
"100133331",7970
"100288069",93
"400728",1
"79854",53
"643837",15
"284593",9
"100130417",0
"148398",22
"26155",751
"339451",91
"84069",20
"84808",37
"57801",63
"9636",11
"375790",592
"105369174",0
"105378948",0
"401934",0
"54991",47
"254099",0
"406984",2
"406983",2
"554210",0
"254173",11
"8784",4
"7293",11
"51150",705
"126792",6
"388581",8
"118424",232
"6339",49
"116983",348
"102465434",0
"126789",35
"54973",639
"102465435",0
"80772",53
"83756",21
"1855",246
"102466740",0
"54587",751
"54998",73
"81669",2634
"148413",35
"55052",328
"441869",0
"643965",0
"102724312",0
"64856",20
"219293",99
"83858",517
"55210",467
"339453",12
"29101",397
"643988",2
"142678",218
"8510",126
"984",3489
"728661",1989
"8511",126
"728642",3163
"9906",1956
"65220",634
"2782",2658
"105378949",0
"163688",5
"339456",0
"85452",28
"2563",16
"5590",70
"100506504",9
"199990",118
"105378592",10
"6497",1217
"105378594",28
"79906",148
"100129534",2
"11079",803
"5192",54
"9651",116
"55229",395
"388585",1
"115110",2
"8764",406
"100996583",0
"127281",16
"79258",15
"100287898",4
"140625",4
"440556",55
"63976",841
"100422968",0
"27237",21
"1953",704
"693135",0
"127262",211
"49856",133
"7161",25
"57212",259
"148870",26
"388588",2
"57470",423
"9731",1403
"1677",112
"339448",391
"100133612",0
"728716",0
"284661",0
"55966",18
"100616489",0
"100616421",0
"261734",267
"8514",590
"26038",189
"6146",5185
"102724450",0
"388591",64
"23463",187
"148645",0
"390992",3
"387509",19
"11332",214
"54626",0
"83715",32
"100422975",0
"8718",115
"57449",381
"79707",681
"80835",18
"3104",278
"9903",118
"148479",217
"90326",141
"55735",735
"100505887",0
"23261",741
"9341",713
"8863",4297
"10911",17
"3604",11
"11315",2474
"54206",5032
"102724539",0
"50651",82
"473",3377
"102724552",0
"2023",5872
"102465436",0
"100505975",0
"765",11
"155184",11
"6518",71
"80045",7
"407040",8
"9563",911
"80176",150
"100506022",0
"84275",112
"199953",24
"5293",803
"644997",77
"101929074",0
"22883",2954
"56998",21
"84328",371
"64802",109
"100847055",0
"105376719",1
"116362",192
"10277",3513
"23095",6796
"100422970",0
"5226",734
"100526739",0
"378708",0
"1325",0
"1676",170
"5195",331
"54897",393
"148345",8
"23435",2244
"10747",139
"6723",184
"5394",2357
"2475",3138
"100873935",0
"10218",114
"29914",329
"57540",21
"101929181",0
"26232",5
"93611",80
"26270",56
"10459",103
"374946",5
"57085",109
"284498",6
"102724659",0
"4524",639
"1185",569
"100379251",1
"4878",28
"4879",5
"26829",2
"90231",457
"5351",2134
"9927",2007
"60672",114
"102466982",0
"943",15
"102465836",0
"7133",251
"100616438",0
"55187",14426
"677885",195
"9249",416
"102466722",0
"343066",14
"126767",9
"93190",4
"390999",6
"65121",77
"440560",287
"343069",217
"65122",57
"400735",287
"343071",46
"441871",60
"440561",362
