"","14925.Aligned.sortedByCoord.out.bam"
"100287102",379
"653635",12379
"102466751",2
"100302278",41
"645520",290
"79501",122
"729737",13214
"102725121",350
"102723897",12537
"102465909",2
"729759",1161
"100132287",14336
"105378947",9
"101928626",0
"102465432",8
"81399",1161
"100133331",15245
"100288069",97
"400728",1
"79854",239
"643837",36
"284593",7
"100130417",0
"148398",27
"26155",1341
"339451",78
"84069",31
"84808",76
"57801",345
"9636",18
"375790",958
"105369174",0
"105378948",0
"401934",1
"54991",48
"254099",0
"406984",1
"406983",1
"554210",1
"254173",14
"8784",7
"7293",4
"51150",910
"126792",4
"388581",10
"118424",289
"6339",39
"116983",513
"102465434",0
"126789",39
"54973",1117
"102465435",0
"80772",66
"83756",24
"1855",443
"102466740",0
"54587",756
"54998",133
"81669",3534
"148413",45
"55052",499
"441869",5
"643965",0
"102724312",0
"64856",31
"219293",146
"83858",1032
"55210",873
"339453",38
"29101",509
"643988",1
"142678",337
"8510",174
"984",6755
"728661",2704
"8511",171
"728642",5897
"9906",2722
"65220",832
"2782",3803
"105378949",1
"163688",4
"339456",6
"85452",14
"2563",8
"5590",24
"100506504",0
"199990",193
"105378592",15
"6497",2553
"105378594",37
"79906",212
"100129534",6
"11079",1159
"5192",67
"9651",41
"55229",519
"388585",0
"115110",1
"8764",402
"100996583",0
"127281",13
"79258",13
"100287898",6
"140625",7
"440556",97
"63976",2199
"100422968",0
"27237",25
"1953",835
"693135",0
"127262",416
"49856",137
"7161",12
"57212",369
"148870",13
"388588",0
"57470",700
"9731",2872
"1677",187
"339448",436
"100133612",0
"728716",0
"284661",2
"55966",29
"100616489",0
"100616421",0
"261734",354
"8514",347
"26038",1237
"6146",9424
"102724450",0
"388591",123
"23463",235
"148645",0
"390992",5
"387509",14
"11332",176
"54626",3
"83715",20
"100422975",0
"8718",89
"57449",977
"79707",1127
"80835",6
"3104",288
"9903",190
"148479",250
"90326",176
"55735",1154
"100505887",0
"23261",1009
"9341",880
"8863",2263
"10911",10
"3604",18
"11315",4529
"54206",3600
"102724539",1
"50651",80
"473",6323
"102724552",0
"2023",6436
"102465436",0
"100505975",0
"765",7
"155184",11
"6518",25
"80045",11
"407040",22
"9563",1067
"80176",138
"100506022",0
"84275",111
"199953",54
"5293",981
"644997",97
"101929074",0
"22883",4163
"56998",33
"84328",618
"64802",134
"100847055",0
"105376719",0
"116362",183
"10277",4909
"23095",9687
"100422970",0
"5226",607
"100526739",0
"378708",0
"1325",0
"1676",298
"5195",772
"54897",877
"148345",14
"23435",4712
"10747",322
"6723",218
"5394",2625
"2475",4486
"100873935",0
"10218",202
"29914",549
"57540",18
"101929181",0
"26232",11
"93611",124
"26270",89
"10459",154
"374946",4
"57085",77
"284498",4
"102724659",0
"4524",1286
"1185",746
"100379251",1
"4878",24
"4879",4
"26829",0
"90231",557
"5351",1482
"9927",4082
"60672",178
"102466982",0
"943",34
"102465836",0
"7133",306
"100616438",0
"55187",23565
"677885",127
"9249",683
"102466722",0
"343066",10
"126767",2
"93190",1
"390999",6
"65121",56
"440560",185
"343069",399
"65122",25
"400735",136
"343071",37
"441871",47
"440561",251
"653606",5
"102724742",24
"101929983",205
"649330",59
"441873",216
"649324",23
"440563",65
"645354",23
"645359",203
"101060301",59
"343070",204
"400736",48
"391003",32
"343068",245
"391002",41
"645382",30
"653619",190
"729528",55
"645414",45
"391004",27
"645425",39
"126755",2
"10630",41
"7799",5731
"23254",155
"200197",1
"55092",92
"727684",215
"114827",100
"101927417",0
"79180",819
"11330",8
"63036",36
"51032",86
"842",311
"23341",936
"79814",19
"84301",870
"6248",239
"23207",1915
"284723",12
"388595",27
"54751",858
"440567",387
"729614",2
"23013",9635
"7709",419
"101928566",0
"149563",0
"27129",547
"1187",105
"1188",92
"348487",21
"1969",421
"128272",36
"101927546",0
"79363",41
"54455",1465
"26099",634
"374955",27
"55707",524
"114819",385
"26871",9
"100126512",0
"100126517",0
"102724970",35
"100133301",0
"7195",0
"55672",76909
"84809",224
"11209",297
"26869",9
"729574",35
"100126533",0
"284729",23
"100189045",0
"102723383",35
"6060",9
"11223",196
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",861
"26870",9
"4237",305
"23400",958
"6390",1941
"11240",28
"29943",6
"51702",6
"100616188",0
"23569",20
"353238",5
"55920",571
"55160",4384
"81569",0
"101927876",0
"84966",60
"127707",4
"5081",12
"80834",12
"8659",179
"100616120",0
"100302276",4
"126917",622
"23352",21599
"23065",1585
"51154",202
"246181",108
"22977",80
"100506730",2
"8574",814
"54896",74
"832",4030
"100532736",0
"440574",233
"644068",89
"4681",33
"3362",4
"255104",286
"54546",0
"23252",282
"30814",1
"5320",4917
"5322",137
