"","14916.Aligned.sortedByCoord.out.bam"
"100287102",197
"653635",5261
"102466751",0
"100302278",31
"645520",221
"79501",62
"729737",7608
"102725121",182
"102723897",5562
"102465909",0
"729759",682
"100132287",6950
"105378947",0
"101928626",0
"102465432",26
"81399",682
"100133331",7117
"100288069",61
"400728",0
"79854",72
"643837",31
"284593",3
"100130417",0
"148398",20
"26155",1213
"339451",92
"84069",30
"84808",7
"57801",117
"9636",136
"375790",689
"105369174",0
"105378948",0
"401934",2
"54991",52
"254099",0
"406984",1
"406983",2
"554210",0
"254173",22
"8784",21
"7293",25
"51150",955
"126792",8
"388581",4
"118424",259
"6339",19
"116983",320
"102465434",0
"126789",31
"54973",619
"102465435",1
"80772",32
"83756",13
"1855",280
"102466740",0
"54587",478
"54998",115
"81669",2214
"148413",38
"55052",370
"441869",1
"643965",0
"102724312",0
"64856",28
"219293",100
"83858",819
"55210",710
"339453",15
"29101",485
"643988",11
"142678",200
"8510",167
"984",3723
"728661",1830
"8511",166
"728642",3491
"9906",1670
"65220",714
"2782",3562
"105378949",0
"163688",6
"339456",2
"85452",42
"2563",9
"5590",89
"100506504",1
"199990",128
"105378592",14
"6497",1344
"105378594",30
"79906",96
"100129534",0
"11079",1176
"5192",80
"9651",102
"55229",420
"388585",0
"115110",3
"8764",340
"100996583",0
"127281",36
"79258",14
"100287898",4
"140625",2
"440556",18
"63976",573
"100422968",0
"27237",9
"1953",403
"693135",0
"127262",241
"49856",179
"7161",20
"57212",136
"148870",15
"388588",1
"57470",435
"9731",1500
"1677",131
"339448",437
"100133612",0
"728716",0
"284661",0
"55966",14
"100616489",0
"100616421",0
"261734",333
"8514",766
"26038",182
"6146",5212
"102724450",0
"388591",101
"23463",279
"148645",0
"390992",2
"387509",21
"11332",310
"54626",5
"83715",43
"100422975",0
"8718",145
"57449",263
"79707",815
"80835",5
"3104",243
"9903",147
"148479",145
"90326",102
"55735",914
"100505887",0
"23261",620
"9341",603
"8863",2142
"10911",15
"3604",46
"11315",3267
"54206",7248
"102724539",0
"50651",105
"473",3020
"102724552",0
"2023",13230
"102465436",0
"100505975",0
"765",15
"155184",13
"6518",264
"80045",20
"407040",0
"9563",1108
"80176",226
"100506022",0
"84275",143
"199953",46
"5293",1101
"644997",68
"101929074",0
"22883",2672
"56998",42
"84328",363
"64802",103
"100847055",0
"105376719",1
"116362",88
"10277",2390
"23095",5992
"100422970",0
"5226",1419
"100526739",0
"378708",0
"1325",0
"1676",232
"5195",370
"54897",443
"148345",10
"23435",2478
"10747",61
"6723",360
"5394",1942
"2475",3854
"100873935",0
"10218",108
"29914",530
"57540",11
"101929181",0
"26232",8
"93611",75
"26270",128
"10459",170
"374946",7
"57085",147
"284498",11
"102724659",0
"4524",795
"1185",537
"100379251",3
"4878",20
"4879",4
"26829",2
"90231",422
"5351",3327
"9927",2374
"60672",191
"102466982",0
"943",32
"102465836",0
"7133",491
"100616438",0
"55187",13371
"677885",136
"9249",233
"102466722",0
"343066",11
"126767",5
"93190",4
"390999",10
"65121",47
"440560",228
"343069",218
"65122",27
"400735",276
"343071",57
"441871",33
"440561",303
"653606",36
"102724742",46
"101929983",258
"649330",26
"441873",317
"649324",35
"440563",30
"645354",35
"645359",303
"101060301",25
"343070",274
"400736",69
"391003",73
"343068",309
"391002",35
"645382",42
"653619",255
"729528",66
"645414",93
"391004",25
"645425",55
"126755",0
"10630",225
"7799",3135
"23254",77
"200197",0
"55092",117
"727684",127
"114827",189
"101927417",0
"79180",1414
"11330",21
"63036",22
"51032",34
"842",137
"23341",636
"79814",43
"84301",567
"6248",149
"23207",1594
"284723",6
"388595",23
"54751",937
"440567",320
"729614",0
"23013",5996
"7709",302
"101928566",1
"149563",0
"27129",292
"1187",94
"1188",105
"348487",10
"1969",439
"128272",49
"101927546",0
"79363",20
"54455",1078
"26099",557
"374955",22
"55707",602
"114819",102
"26871",18
"100126512",0
"100126517",0
"102724970",26
"100133301",9
"7195",0
"55672",24384
"84809",143
"11209",235
"26869",18
"729574",68
"100126533",0
"284729",22
"100189045",0
"102723383",68
"6060",18
"11223",170
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",397
"26870",18
"4237",329
"23400",857
"6390",1744
"11240",46
"29943",12
"51702",8
"100616188",0
"23569",34
"353238",14
"55920",1134
"55160",1705
"81569",4
"101927876",0
"84966",99
"127707",10
"5081",9
"80834",45
"8659",136
"100616120",0
"100302276",2
"126917",478
"23352",18740
"23065",1373
"51154",231
"246181",61
"22977",70
"100506730",1
"8574",615
"54896",84
"832",4340
"100532736",0
"440574",181
"644068",75
"4681",10
"3362",4
"255104",178
"54546",0
"23252",123
"30814",4
"5320",3661
"5322",87
"26279",19
"64600",3
"391013",2
"127733",9
"101928017",0
"127731",26
"339505",0
"55450",19
"79594",201
"163933",3
"978",21
"65018",546
"102464833",0
"100861548",25
"1650",2137
"57576",60
"400745",2
"50809",3286
"8672",4927
"100302155",0
"1889",5148
"100506801",14
"84224",845
"249",144
"5909",29
"84196",2567
"401944",61
"3339",36188
"23436",18
"10136",14
"101928043",0
"29092",1
"998",3822
"54361",21
"100616433",0
"9923",2528
"2046",8
"102466615",0
"712",4096
"714",2603
"713",4399
"2048",377
"100616391",0
"100422914",2
"646262",1
"729059",1
"23028",1493
"100422866",0
"100616177",0
"7798",1008
"3352",8
"100996511",0
"10236",3727
"80818",509
"148898",19
"6920",396
"55616",617
"1870",11
"101928163",0
"3399",491
"259283",25
"6135",11127
"6924",1148
"100506963",0
"57095",365
"11313",238
"2582",142
"3155",538
"2517",906
"1269",11
"100616492",0
"55629",728
"10772",1142
"127294",72
"58985",13
"163702",26
"284632",0
"57822",14
"90529",63
"57185",111
"100750325",0
"11123",72
"100506985",1
"400746",2
"10250",4439
"25932",4609
"864",138
"102465437",0
"100616365",0
"25949",1428
"57035",1435
"6007",488
"23585",705
"6006",323
"55219",576
"26119",468
"57134",350
"57190",1710
"56181",303
"646471",12
"79000",15
"164091",59
"3925",236
"100500808",0
"5051",106
"2134",6
"7780",9
"105376910",1
"84676",6
"149420",83
"79927",5
"105376887",0
"51042",36
"10256",100
"378807",42
"101928303",0
"64793",261
"83442",880
"91544",269
"1043",82
"55057",18
"257101",39
"79727",1
"79947",644
"101928324",3
"3151",3177
"6195",941
"100302190",0
"101928728",3
"8289",4920
"55650",145
"84243",295
"2810",2
"54707",151
"63906",230
"10726",1869
"8431",5
"126695",6
"388610",0
"115572",202
"6548",706
"23038",677
"84065",128
"644961",502
"100887744",0
"84958",93
"9064",1041
"8547",14
"388611",3
"2827",22
"10163",4958
"27245",625
"2268",864
"2537",399
"199870",269
"23673",1090
"5511",428
"677774",556
"9473",441
"6118",500
"27293",20
"55113",19
"2140",1339
"5724",348
"22826",2762
"93974",346
"83667",100
"54797",56
"65979",1282
"1104",179
"8420",43
"6080",32554
"26768",49492
"54952",267
"85028",9
"692212",63
"677838",459
"677825",149
"692073",36
"115273",17
"6883",212
"26824",6
"10691",300
"105376911",0
"51441",882
"4985",2
"2035",1481
"399474",12
"6429",2004
"51102",236
"10076",443
"101928460",0
"101929406",0
"4146",1
"100129196",0
"7805",5047
"100616164",0
"400748",0
"9672",343
"9698",2998
"692234",156
"692235",156
"692200",10
"79570",1
"9410",528
"51538",432
"2170",400
"347735",68
"149086",4
"284551",0
"64129",1713
"3061",25
"553115",218
"1307",2137
"576",29
"100423028",0
"90853",101
"8073",1918
"10657",1512
"55116",162
"100847018",0
"23633",1036
"200081",1030
"79140",37
"56063",94
"55721",52
"149069",32
"8668",884
"339483",0
"84734",2
"3932",375
"3065",1158
"65108",31
"100128071",0
"81629",80
"55108",395
"728116",17
"653121",155
"339487",526
"5928",2003
"81493",237
"57648",27
"8565",1601
"64766",697
"252995",17
"3208",7
"113452",17
"127544",839
"204",6207
"113451",50
"55223",96
"149076",500
"127550",8
"1912",1249
"100500853",0
"101929464",0
"7579",91
"114784",281
"127540",1
"402779",0
"84970",6
"693137",0
"2709",11
"127534",17
"2707",17
"2701",142
"113444",315
"58512",20
"653160",10
"100506144",44
"9204",1436
"79830",524
"6421",8230
"9202",3452
"79932",1169
"23154",218
"339488",51
"5690",1210
"127703",48
"63967",347
"192670",1169
"26523",992
"192669",1636
"27285",38
"54936",83
"1296",355
"27095",461
"55700",1114
"9967",3412
"79729",64
"55194",41
"83931",558
"84967",142
"127700",64
"64960",534
"1441",529
"2899",53
"100422898",0
"728431",0
"80149",279
"102465438",0
"64769",503
"100847010",0
"79753",204
"7802",51
"29889",1928
"284654",9
"54955",64
"55143",44
"284656",20
"149175",19
"79693",64
"127687",39
"4520",868
"3633",1274
"10946",2580
"2275",256
"51118",627
"5453",0
"100500801",0
"339442",4
"64121",1032
"100527950",19
"26292",0
"81025",0
"54933",67
"79647",524
"4725",1454
"23499",67393
"643314",1264
"105378950",0
"353500",41
"728448",5
"8761",2101
"101929516",0
"677834",42
"26508",575
"84618",3
"51440",3
"10450",349
"656",39
"64064",39
"105378951",0
"101929536",0
"54802",405
"4610",31
"84879",48
"10487",7250
"5538",2692
"6018",2126
"127391",2
"10269",707
"1298",127
"64744",3126
"65243",109
"339559",280
"64789",96
"127396",114
"9783",53
"100130557",0
"4802",907
"407034",0
"407031",0
"9132",105
"163732",1
"1503",1494
"100507178",3
"200172",23
"22955",1367
"100132074",5
"1907",2
"59269",678
"2981",3
"2980",2
"22887",1267
"284716",11
"84217",16
"79717",421
"728621",101
"10465",211
"4904",6973
"149461",9
"64175",1063
"79078",71
"100129924",11
"374969",70
"114625",214
"51058",132
"339539",6
"6513",424
"440584",0
"105378684",0
"440585",0
"10969",505
"102465439",0
"149465",32
"128218",1
"149466",0
"7075",256
"4352",66
"991",85
"64834",844
"102466723",0
"112950",325
"23334",2662
"102465440",0
"81888",0
"5792",611
"9682",1095
"100132774",0
"6487",551
"101929592",0
"102464830",0
"9048",3
"9670",622
"1802",79
"533",547
"8704",261
"149473",55
"6536",183
"128209",8
"105378952",0
"55929",200
"79033",407
"100874278",0
"55182",751
"100847089",0
"79639",12
"339541",56
"26828",0
"26830",1
"11004",102
"6202",2604
"26811",2
"94161",36
"94162",21
"94163",16
"266675",5
"1263",851
"343521",5
"149478",219
"8643",103
"8891",578
"79654",826
"7389",785
"57643",91
"400752",0
"84842",4
"4595",337
"114034",241
"10420",206
"126661",38
"25974",53
"5052",1735
"10327",1174
"4678",2586
"149483",59
"60313",1484
"728963",22
"51249",232
"3652",353
"23139",2265
"8503",589
"101929626",0
"10103",26
"55624",1143
"541468",0
"8438",265
"10489",460
"7388",850
"387338",207
"2166",142
"729041",0
"101929651",0
"127343",3
"100507423",1
"148930",9
"8569",1085
"148932",253
"64756",338
"374973",30
"100130197",6
"9813",1998
"1580",75
"163720",40
"1579",25
"260293",148
"199974",45
"284541",19
"100874253",0
"10158",23
"6886",21
"6491",361
"51727",2430
"102724077",0
"2301",8
"84793",0
"2306",48
"388630",1127
"391037",1
"200010",96
"54558",461
"84871",12
"79656",36
"101929721",1
"100874313",0
"1996",42
"63950",4
"11124",1514
"1031",100
"100616189",0
"102466656",0
"284546",4
"26994",672
"22996",42
"102724097",0
"2060",5517
"114883",2960
"4898",8295
"100313892",0
"5865",5
