"","11037.Aligned.sortedByCoord.out.bam"
"100287102",191
"653635",6649
"102466751",0
"100302278",6
"645520",54
"79501",6
"729737",8821
"102725121",175
"102723897",6821
"102465909",0
"729759",74
"100132287",7350
"105378947",1
"101928626",0
"102465432",14
"81399",74
"100133331",8346
"100288069",49
"400728",0
"79854",51
"643837",6
"284593",0
"100130417",0
"148398",10
"26155",635
"339451",83
"84069",23
"84808",6
"57801",31
"9636",18
"375790",650
"105369174",0
"105378948",1
"401934",0
"54991",37
"254099",0
"406984",0
"406983",0
"554210",0
"254173",1
"8784",15
"7293",12
"51150",682
"126792",2
"388581",2
"118424",198
"6339",40
"116983",376
"102465434",0
"126789",43
"54973",503
"102465435",0
"80772",37
"83756",18
"1855",231
"102466740",1
"54587",675
"54998",76
"81669",2209
"148413",45
"55052",201
"441869",0
"643965",1
"102724312",0
"64856",35
"219293",113
"83858",602
"55210",518
"339453",13
"29101",358
"643988",0
"142678",263
"8510",153
"984",2636
"728661",1994
"8511",149
"728642",2415
"9906",1833
"65220",468
"2782",2411
"105378949",0
"163688",5
"339456",1
"85452",4
"2563",36
"5590",103
"100506504",2
"199990",97
"105378592",4
"6497",1029
"105378594",4
"79906",88
"100129534",3
"11079",871
"5192",59
"9651",308
"55229",370
"388585",0
"115110",1
"8764",469
"100996583",0
"127281",23
"79258",5
"100287898",2
"140625",0
"440556",17
"63976",317
"100422968",0
"27237",9
"1953",576
"693135",0
"127262",154
"49856",151
"7161",6
"57212",185
"148870",3
"388588",0
"57470",269
"9731",898
"1677",94
"339448",237
"100133612",0
"728716",0
"284661",0
"55966",12
"100616489",0
"100616421",0
"261734",253
"8514",1038
"26038",51
"6146",2588
"102724450",0
"388591",107
"23463",134
"148645",0
"390992",0
"387509",17
"11332",237
"54626",0
"83715",14
"100422975",0
"8718",208
"57449",539
"79707",443
"80835",6
"3104",239
"9903",104
"148479",121
"90326",69
"55735",558
"100505887",0
"23261",318
"9341",335
"8863",590
"10911",14
"3604",22
"11315",1780
"54206",3443
"102724539",0
"50651",61
"473",2451
"102724552",0
"2023",6075
"102465436",0
"100505975",1
"765",3
"155184",0
"6518",164
"80045",22
"407040",5
"9563",807
"80176",115
"100506022",0
"84275",63
"199953",41
"5293",1508
"644997",107
"101929074",0
"22883",1877
"56998",36
"84328",176
"64802",63
"100847055",0
"105376719",0
"116362",127
"10277",2110
"23095",4662
"100422970",0
"5226",1350
"100526739",0
"378708",0
"1325",1
"1676",159
"5195",309
"54897",169
"148345",16
"23435",1865
"10747",79
"6723",133
"5394",1430
"2475",2783
"100873935",0
"10218",95
"29914",395
"57540",8
"101929181",0
"26232",9
"93611",94
"26270",75
"10459",120
"374946",4
"57085",149
"284498",1
"102724659",0
"4524",728
"1185",519
"100379251",0
"4878",23
"4879",1
"26829",1
"90231",360
"5351",2202
"9927",1583
"60672",125
"102466982",0
"943",7
"102465836",0
"7133",438
"100616438",0
"55187",9244
"677885",83
"9249",301
"102466722",0
"343066",1
"126767",0
"93190",0
"390999",1
"65121",6
"440560",33
"343069",132
"65122",8
"400735",19
"343071",9
"441871",1
"440561",31
"653606",4
"102724742",4
"101929983",32
"649330",9
"441873",31
"649324",0
"440563",18
"645354",0
"645359",29
"101060301",9
"343070",38
"400736",8
"391003",10
"343068",32
"391002",1
"645382",6
"653619",34
"729528",3
"645414",7
"391004",4
"645425",2
"126755",0
"10630",130
"7799",2422
"23254",50
"200197",1
"55092",69
"727684",133
"114827",249
"101927417",0
"79180",1063
"11330",14
"63036",5
"51032",14
"842",115
"23341",476
"79814",24
"84301",498
"6248",115
"23207",1568
"284723",3
"388595",10
"54751",400
"440567",149
"729614",0
"23013",3765
"7709",260
"101928566",0
"149563",0
"27129",222
"1187",20
"1188",21
"348487",6
"1969",310
"128272",51
"101927546",0
"79363",15
"54455",778
"26099",352
"374955",5
"55707",675
"114819",152
"26871",16
"100126512",0
"100126517",0
"102724970",1
"100133301",1
"7195",0
"55672",19499
"84809",108
"11209",244
"26869",16
"729574",12
"100126533",0
"284729",3
"100189045",0
"102723383",12
"6060",16
"11223",203
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",467
"26870",16
"4237",246
"23400",684
"6390",898
"11240",59
"29943",1
"51702",0
"100616188",0
"23569",7
"353238",1
"55920",691
"55160",1306
"81569",0
"101927876",0
"84966",25
"127707",0
"5081",2
"80834",6
"8659",40
"100616120",0
"100302276",0
"126917",317
"23352",14289
"23065",764
"51154",91
"246181",65
"22977",70
"100506730",0
"8574",610
"54896",76
"832",2364
"100532736",0
"440574",76
"644068",82
"4681",17
"3362",5
"255104",194
"54546",0
"23252",125
"30814",0
"5320",1129
"5322",47
"26279",30
"64600",0
"391013",0
"127733",3
"101928017",0
