"","12223.Aligned.sortedByCoord.out.bam"
"100287102",209
"653635",12299
"102466751",0
"100302278",11
"645520",156
"79501",46
"729737",25370
"102725121",177
"102723897",11942
"102465909",1
"729759",507
"100132287",20884
"105378947",3
"101928626",0
"102465432",34
"81399",507
"100133331",23705
"100288069",88
"400728",0
"79854",57
"643837",22
"284593",1
"100130417",0
"148398",16
"26155",888
"339451",79
"84069",15
"84808",7
"57801",26
"9636",12
"375790",862
"105369174",0
"105378948",0
"401934",0
"54991",44
"254099",0
"406984",0
"406983",0
"554210",1
"254173",14
"8784",14
"7293",4
"51150",857
"126792",5
"388581",11
"118424",228
"6339",57
"116983",399
"102465434",0
"126789",35
"54973",516
"102465435",0
"80772",65
"83756",33
"1855",214
"102466740",1
"54587",1312
"54998",80
"81669",2375
"148413",47
"55052",333
"441869",5
"643965",0
"102724312",1
"64856",10
"219293",75
"83858",736
"55210",705
"339453",13
"29101",431
"643988",8
"142678",259
"8510",121
"984",3859
"728661",2411
"8511",119
"728642",3768
"9906",2381
"65220",825
"2782",3167
"105378949",0
"163688",7
"339456",11
"85452",7
"2563",11
"5590",85
"100506504",3
"199990",136
"105378592",5
"6497",994
"105378594",29
"79906",161
"100129534",3
"11079",1051
"5192",56
"9651",326
"55229",449
"388585",0
"115110",10
"8764",950
"100996583",0
"127281",51
"79258",4
"100287898",3
"140625",2
"440556",5
"63976",193
"100422968",0
"27237",12
"1953",633
"693135",1
"127262",227
"49856",170
"7161",10
"57212",240
"148870",6
"388588",2
"57470",438
"9731",1152
"1677",125
"339448",477
"100133612",0
"728716",0
"284661",0
"55966",6
"100616489",0
"100616421",0
"261734",274
"8514",1705
"26038",20
"6146",5684
"102724450",0
"388591",93
"23463",146
"148645",0
"390992",0
"387509",36
"11332",419
"54626",1
"83715",8
"100422975",0
"8718",173
"57449",559
"79707",631
"80835",6
"3104",308
"9903",111
"148479",168
"90326",126
"55735",817
"100505887",0
"23261",475
"9341",658
"8863",1717
"10911",12
"3604",22
"11315",2823
"54206",1207
"102724539",0
"50651",62
"473",3575
"102724552",0
"2023",7422
"102465436",0
"100505975",0
"765",3
"155184",1
"6518",577
"80045",16
"407040",9
"9563",1553
"80176",122
"100506022",0
"84275",102
"199953",37
"5293",1750
"644997",133
"101929074",0
"22883",2411
"56998",39
"84328",260
"64802",116
"100847055",0
"105376719",0
"116362",204
"10277",3093
"23095",8685
"100422970",0
"5226",3691
"100526739",0
"378708",0
"1325",0
"1676",199
"5195",496
"54897",110
"148345",37
"23435",2647
"10747",154
"6723",147
"5394",2154
"2475",3701
"100873935",3
"10218",132
"29914",617
"57540",18
"101929181",0
"26232",1
"93611",104
"26270",77
"10459",154
"374946",3
"57085",247
"284498",0
"102724659",0
"4524",989
"1185",735
"100379251",1
"4878",25
"4879",7
"26829",0
"90231",445
"5351",2726
"9927",2372
"60672",229
"102466982",0
"943",13
"102465836",0
"7133",701
"100616438",0
"55187",12801
"677885",107
"9249",557
"102466722",0
"343066",0
"126767",3
"93190",0
"390999",8
"65121",19
"440560",119
"343069",226
"65122",9
"400735",107
"343071",21
"441871",17
"440561",148
"653606",6
"102724742",9
"101929983",116
"649330",19
"441873",150
"649324",4
"440563",20
"645354",4
"645359",148
"101060301",19
"343070",117
"400736",14
"391003",51
"343068",150
"391002",19
"645382",12
"653619",142
"729528",21
"645414",47
"391004",13
"645425",26
"126755",0
"10630",492
"7799",3909
"23254",158
"200197",1
"55092",180
"727684",226
"114827",767
"101927417",1
"79180",1495
"11330",7
"63036",28
"51032",40
"842",233
"23341",759
"79814",36
"84301",1014
"6248",261
"23207",2769
"284723",4
"388595",2
"54751",168
"440567",339
"729614",1
"23013",5434
"7709",280
"101928566",0
"149563",0
"27129",21
"1187",29
"1188",27
"348487",3
"1969",260
"128272",40
"101927546",0
"79363",5
"54455",1181
"26099",456
"374955",15
"55707",1050
"114819",191
"26871",6
"100126512",1
"100126517",0
"102724970",15
"100133301",6
"7195",0
"55672",61993
"84809",154
"11209",318
"26869",6
"729574",36
"100126533",0
"284729",10
"100189045",0
"102723383",37
"6060",6
"11223",239
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",768
"26870",5
"4237",429
"23400",777
"6390",1558
"11240",109
"29943",9
"51702",8
"100616188",0
"23569",12
"353238",6
"55920",1059
"55160",1526
"81569",0
"101927876",0
"84966",250
"127707",0
"5081",4
"80834",2
"8659",66
"100616120",0
"100302276",1
"126917",251
"23352",20238
"23065",1146
"51154",179
"246181",78
"22977",140
"100506730",0
"8574",977
"54896",119
"832",3529
"100532736",0
"440574",153
"644068",106
"4681",31
"3362",8
"255104",263
"54546",1
"23252",112
"30814",1
"5320",469
"5322",58
"26279",153
"64600",2
"391013",2
"127733",26
"101928017",0
"127731",11
"339505",0
"55450",32
"79594",103
"163933",4
"978",193
"65018",866
"102464833",0
"100861548",62
"1650",2016
"57576",289
"400745",1
"50809",3404
"8672",4615
"100302155",0
"1889",2666
"100506801",12
"84224",2038
"249",134
"5909",15
"84196",2740
"401944",27
"3339",25704
"23436",7
"10136",6
"101928043",0
"29092",2
"998",3143
"54361",33
"100616433",0
"9923",3493
"2046",1
"102466615",0
"712",10293
"714",4410
"713",10709
"2048",369
"100616391",0
"100422914",0
"646262",1
"729059",1
"23028",1771
"100422866",4
"100616177",0
"7798",1191
"3352",6
"100996511",2
"10236",2431
"80818",594
"148898",28
"6920",229
"55616",683
"1870",18
"101928163",0
"3399",136
"259283",36
"6135",18668
"6924",1130
"100506963",0
"57095",487
"11313",235
"2582",128
"3155",718
"2517",2486
"1269",12
"100616492",0
"55629",787
"10772",670
"127294",46
"58985",5
"163702",44
"284632",0
"57822",5
"90529",49
"57185",157
"100750325",0
"11123",96
"100506985",0
"400746",0
"10250",5763
"25932",1449
"864",175
"102465437",0
"100616365",0
"25949",1446
"57035",1635
"6007",1656
"23585",567
"6006",795
"55219",844
"26119",619
"57134",902
"57190",2344
"56181",381
"646471",50
"79000",14
"164091",96
"3925",406
"100500808",0
"5051",181
"2134",6
"7780",1
"105376910",0
"84676",4
"149420",89
"79927",2
"105376887",0
"51042",24
"10256",117
"378807",18
"101928303",3
"64793",365
"83442",967
"91544",721
"1043",314
"55057",12
"257101",26
"79727",3
"79947",764
"101928324",3
"3151",3853
"6195",1792
"100302190",0
"101928728",0
"8289",7014
"55650",401
"84243",347
"2810",3
"54707",163
"63906",296
"10726",1677
"8431",2
"126695",5
"388610",0
"115572",29
"6548",710
"23038",986
"84065",113
"644961",21
"100887744",0
"84958",161
"9064",486
"8547",7
"388611",0
"2827",12
"10163",6493
"27245",397
"2268",2007
"2537",92
"199870",248
"23673",1029
"5511",426
"677774",265
"9473",1008
"6118",571
"27293",14
"55113",30
"2140",1224
"5724",516
"22826",2428
"93974",354
"83667",78
"54797",86
"65979",1792
"1104",295
"8420",58
"6080",40482
"26768",29878
"54952",290
"85028",9
"692212",41
"677838",258
"677825",57
"692073",34
"115273",40
"6883",160
"26824",1
"10691",310
"105376911",2
"51441",957
"4985",0
"2035",2917
"399474",13
"6429",1743
"51102",162
"10076",342
"101928460",0
"101929406",0
"4146",3
"100129196",2
"7805",8323
"100616164",0
"400748",0
"9672",404
"9698",2777
"692234",134
"692235",134
"692200",7
"79570",1
"9410",505
"51538",388
"2170",390
"347735",137
"149086",0
"284551",0
"64129",505
"3061",30
"553115",181
"1307",2032
"576",34
"100423028",0
"90853",21
"8073",1331
"10657",1507
"55116",166
"100847018",0
"23633",884
"200081",1003
"79140",39
"56063",116
"55721",105
"149069",52
"8668",956
"339483",2
"84734",1
"3932",399
"3065",1021
"65108",31
"100128071",0
"81629",150
"55108",406
"728116",7
"653121",157
"339487",419
"5928",2340
"81493",172
"57648",88
"8565",1250
"64766",1050
"252995",17
"3208",2
"113452",7
"127544",484
"204",6712
"113451",43
"55223",84
"149076",635
"127550",11
"1912",877
"100500853",0
"101929464",0
"7579",84
"114784",214
"127540",1
"402779",0
"84970",9
"693137",0
"2709",9
"127534",6
"2707",12
"2701",148
"113444",181
"58512",9
"653160",29
"100506144",34
"9204",2014
"79830",585
"6421",5908
"9202",3834
"79932",1500
"23154",232
"339488",68
"5690",869
"127703",27
"63967",242
"192670",2012
"26523",1576
"192669",1766
"27285",7
"54936",78
"1296",142
"27095",312
"55700",1315
"9967",3846
"79729",379
"55194",47
"83931",432
"84967",131
"127700",101
"64960",455
"1441",1476
"2899",40
"100422898",0
"728431",0
"80149",135
"102465438",0
"64769",546
"100847010",0
"79753",163
"7802",73
"29889",1365
"284654",7
"54955",44
"55143",123
"284656",2
"149175",32
"79693",43
"127687",37
"4520",746
"3633",1108
"10946",1654
"2275",113
"51118",447
"5453",2
"100500801",0
"339442",4
"64121",911
"100527950",75
"26292",0
"81025",0
"54933",102
"79647",462
"4725",774
"23499",51136
"643314",1388
"105378950",0
"353500",62
"728448",24
"8761",4387
"101929516",0
"677834",35
"26508",145
"84618",4
"51440",0
"10450",491
"656",35
"64064",14
"105378951",0
"101929536",0
"54802",275
"4610",52
"84879",60
"10487",5039
"5538",2779
"6018",2065
"127391",4
"10269",606
"1298",248
"64744",6858
"65243",156
"339559",400
"64789",192
"127396",154
"9783",51
"100130557",2
"4802",1137
"407034",7
"407031",0
"9132",49
"163732",0
"1503",703
"100507178",1
"200172",6
"22955",1203
"100132074",3
"1907",2
"59269",262
"2981",1
"2980",0
"22887",1281
"284716",2
"84217",32
"79717",492
"728621",168
"10465",196
"4904",8689
"149461",3
"64175",947
"79078",73
"100129924",16
"374969",78
"114625",455
"51058",184
"339539",0
"6513",288
"440584",0
"105378684",0
"440585",4
"10969",333
"102465439",0
"149465",45
"128218",0
"149466",0
"7075",522
"4352",59
"991",100
"64834",760
"102466723",0
"112950",318
"23334",4006
"102465440",1
"81888",0
"5792",383
"9682",1615
"100132774",0
"6487",531
"101929592",1
"102464830",0
"9048",4
"9670",596
"1802",68
"533",758
"8704",103
"149473",28
"6536",63
"128209",4
"105378952",0
"55929",299
"79033",229
"100874278",0
"55182",966
"100847089",0
"79639",12
"339541",94
"26828",0
"26830",0
"11004",200
"6202",2912
"26811",2
"94161",11
"94162",6
"94163",6
"266675",18
"1263",574
"343521",2
"149478",123
"8643",120
"8891",419
"79654",960
"7389",1138
"57643",75
"400752",0
"84842",7
"4595",472
"114034",189
"10420",255
"126661",58
"25974",50
"5052",1588
"10327",1566
"4678",2680
"149483",92
"60313",1454
"728963",26
"51249",297
"3652",342
"23139",2230
"8503",505
"101929626",0
"10103",27
"55624",817
"541468",1
"8438",247
"10489",467
"7388",1002
"387338",178
"2166",102
"729041",0
"101929651",0
"127343",0
"100507423",0
"148930",1
"8569",1372
"148932",212
"64756",229
"374973",19
"100130197",5
"9813",1940
"1580",95
"163720",52
"1579",13
"260293",72
"199974",50
"284541",19
"100874253",0
"10158",2
"6886",20
"6491",425
"51727",1765
"102724077",0
"2301",0
"84793",0
"2306",56
"388630",86
"391037",0
"200010",95
"54558",639
"84871",11
"79656",66
"101929721",0
"100874313",0
"1996",17
"63950",0
"11124",1441
"1031",171
"100616189",0
"102466656",0
"284546",5
"26994",455
"22996",23
"102724097",0
"2060",7131
"114883",3275
"4898",6417
"100313892",0
"5865",3
"51060",484
"112970",0
"104355143",0
"91408",446
"9372",1026
"200014",770
"4998",190
"84950",882
"23318",4077
"105378722",0
"2882",60
"348378",21
"65260",60
"79699",785
"440590",11
"55268",781
"6342",3043
"100616156",0
"100616458",0
"100616145",0
"127435",2897
"6512",75
"1376",1028
"54987",234
"4116",327
"100507564",0
"7804",289
"163742",0
"63948",0
"148979",23
"105369175",0
"55706",338
"54432",303
"1733",40
"51668",322
"115353",202
"388633",0
"9528",1842
"127428",51
"100616315",0
"200008",5
"606495",75
"51253",476
"23648",1004
"619518",8
"26027",355
"338094",28
"374977",30
"100527960",9
"7268",1
"25973",13
"55001",14
"163747",11
"1718",476
"100126514",0
"199964",0
"7809",4
"255738",2
"23358",6460
"100507634",0
"100616272",0
"8613",415
"5563",56
"199920",9
"731",11
"732",5
"1600",9
"101926890",0
"115209",719
"4070",26
"114803",1661
"3725",898
"100131060",8
"101926925",0
"729467",0
"55277",501
"100616409",0
"101926944",0
"51361",67
"1573",4
"127795",5
"101926964",0
"100996570",0
"4774",2195
"645030",0
"414927",0
"83941",431
"10207",1699
"100422902",0
"100422946",0
"54596",99
"163782",23
"7398",1080
"85440",2517
"27329",207
"84938",649
"199899",0
"100996301",0
"27022",2
"102464823",0
"29929",879
"23421",221
"84455",230
"79469",25
"5236",715
"4919",578
"101927034",0
"148581",5
"57685",470
"100616338",0
"55225",171
"3716",7732
"101927084",0
"105378775",1
"100500854",2
"406893",0
"205",168
"9829",44
"54741",259
"3953",952
"5142",407
"101927139",0
"84251",840
"100422871",0
"200132",4
"10022",0
"79819",217
"57708",2526
"23169",291
