"","14912.Aligned.sortedByCoord.out.bam"
"100287102",109
"653635",5286
"102466751",2
"100302278",3
"645520",40
"79501",9
"729737",11156
"102725121",97
"102723897",5732
"102465909",2
"729759",357
"100132287",10066
"105378947",1
"101928626",0
"102465432",13
"81399",358
"100133331",11308
"100288069",72
"400728",0
"79854",34
"643837",35
"284593",0
"100130417",0
"148398",21
"26155",1164
"339451",148
"84069",33
"84808",21
"57801",94
"9636",108
"375790",1251
"105369174",0
"105378948",0
"401934",0
"54991",67
"254099",0
"406984",0
"406983",0
"554210",0
"254173",13
"8784",54
"7293",86
"51150",1283
"126792",8
"388581",2
"118424",261
"6339",30
"116983",462
"102465434",0
"126789",54
"54973",650
"102465435",0
"80772",35
"83756",28
"1855",292
"102466740",0
"54587",366
"54998",126
"81669",2153
"148413",43
"55052",388
"441869",3
"643965",0
"102724312",0
"64856",33
"219293",223
"83858",1207
"55210",1067
"339453",5
"29101",408
"643988",3
"142678",315
"8510",202
"984",5187
"728661",1855
"8511",201
"728642",5480
"9906",1645
"65220",793
"2782",4271
"105378949",0
"163688",4
"339456",0
"85452",10
"2563",8
"5590",137
"100506504",4
"199990",151
"105378592",13
"6497",1702
"105378594",38
"79906",104
"100129534",1
"11079",1359
"5192",48
"9651",185
"55229",424
"388585",0
"115110",3
"8764",762
"100996583",0
"127281",49
"79258",9
"100287898",3
"140625",0
"440556",9
"63976",350
"100422968",0
"27237",24
"1953",578
"693135",0
"127262",173
"49856",160
"7161",8
"57212",142
"148870",3
"388588",0
"57470",411
"9731",1133
"1677",120
"339448",381
"100133612",0
"728716",0
"284661",0
"55966",18
"100616489",0
"100616421",0
"261734",313
"8514",1462
"26038",21
"6146",4944
"102724450",0
"388591",177
"23463",159
"148645",0
"390992",0
"387509",26
"11332",783
"54626",0
"83715",8
"100422975",0
"8718",470
"57449",644
"79707",631
"80835",9
"3104",399
"9903",104
"148479",171
"90326",67
"55735",1003
"100505887",0
"23261",463
"9341",470
"8863",769
"10911",18
"3604",159
"11315",3671
"54206",3804
"102724539",0
"50651",39
"473",3052
"102724552",0
"2023",17634
"102465436",0
"100505975",0
"765",15
"155184",4
"6518",153
"80045",59
"407040",5
"9563",1156
"80176",321
"100506022",0
"84275",141
"199953",54
"5293",3110
"644997",115
"101929074",0
"22883",2795
"56998",33
"84328",358
"64802",116
"100847055",0
"105376719",0
"116362",67
"10277",2123
"23095",6275
"100422970",0
"5226",3733
"100526739",0
"378708",0
"1325",0
"1676",190
"5195",505
"54897",368
"148345",0
"23435",2751
"10747",64
"6723",304
"5394",1898
"2475",3720
"100873935",2
"10218",68
"29914",427
"57540",4
"101929181",0
"26232",5
"93611",150
"26270",168
"10459",254
"374946",0
"57085",235
"284498",0
"102724659",0
"4524",806
"1185",614
"100379251",3
"4878",29
"4879",2
"26829",0
"90231",412
"5351",3736
"9927",2401
"60672",326
"102466982",0
"943",53
"102465836",0
"7133",1064
"100616438",0
"55187",10580
"677885",100
"9249",240
"102466722",0
"343066",1
"126767",1
"93190",1
"390999",0
"65121",1
"440560",25
"343069",237
"65122",1
"400735",17
"343071",4
"441871",3
"440561",21
"653606",1
"102724742",0
"101929983",17
"649330",5
"441873",23
"649324",2
"440563",20
"645354",2
"645359",23
"101060301",5
"343070",18
"400736",0
"391003",4
"343068",25
"391002",3
"645382",3
"653619",27
"729528",0
"645414",4
"391004",3
"645425",11
"126755",1
"10630",474
"7799",2870
"23254",62
"200197",0
"55092",114
"727684",284
"114827",483
"101927417",0
"79180",2946
"11330",23
"63036",38
"51032",96
"842",371
"23341",663
"79814",49
"84301",636
"6248",148
"23207",2065
"284723",4
"388595",5
"54751",572
"440567",404
"729614",0
"23013",5288
"7709",538
"101928566",0
"149563",0
"27129",306
"1187",38
"1188",17
"348487",1
"1969",386
"128272",45
"101927546",0
"79363",12
"54455",794
"26099",591
"374955",29
"55707",1571
