"","16187.Aligned.sortedByCoord.out.bam"
"100287102",300
"653635",30024
"102466751",6
"100302278",6
"645520",52
"79501",36
"729737",36455
"102725121",279
"102723897",29506
"102465909",6
"729759",699
"100132287",28166
"105378947",1
"101928626",0
"102465432",13
"81399",699
"100133331",31357
"100288069",116
"400728",6
"79854",175
"643837",20
"284593",0
"100130417",1
"148398",30
"26155",1737
"339451",231
"84069",28
"84808",34
"57801",92
"9636",68
"375790",1645
"105369174",0
"105378948",0
"401934",0
"54991",123
"254099",0
"406984",0
"406983",0
"554210",0
"254173",3
"8784",75
"7293",119
"51150",1749
"126792",11
"388581",7
"118424",447
"6339",105
"116983",938
"102465434",0
"126789",100
"54973",1090
"102465435",0
"80772",101
"83756",68
"1855",570
"102466740",0
"54587",1526
"54998",203
"81669",4410
"148413",91
"55052",542
"441869",7
"643965",0
"102724312",0
"64856",42
"219293",336
"83858",2212
"55210",1904
"339453",20
"29101",827
"643988",9
"142678",594
"8510",294
"984",6925
"728661",4681
"8511",289
"728642",7168
"9906",4630
"65220",1591
"2782",6234
"105378949",0
"163688",14
"339456",6
"85452",7
"2563",9
"5590",291
"100506504",13
"199990",272
"105378592",11
"6497",2313
"105378594",46
"79906",228
"100129534",1
"11079",2277
"5192",116
"9651",627
"55229",945
"388585",0
"115110",13
"8764",2385
"100996583",0
"127281",144
"79258",6
"100287898",6
"140625",0
"440556",20
"63976",655
"100422968",0
"27237",23
"1953",1972
"693135",0
"127262",377
"49856",359
"7161",20
"57212",393
"148870",3
"388588",3
"57470",789
"9731",1980
"1677",233
"339448",925
"100133612",0
"728716",0
"284661",0
"55966",12
"100616489",0
"100616421",0
"261734",590
"8514",2934
"26038",22
"6146",7164
"102724450",0
"388591",275
"23463",308
"148645",0
"390992",0
"387509",79
"11332",949
"54626",5
"83715",23
"100422975",0
"8718",653
"57449",1075
"79707",1094
"80835",2
"3104",774
"9903",180
"148479",328
"90326",216
"55735",1499
"100505887",0
"23261",808
"9341",886
"8863",2256
"10911",28
"3604",190
"11315",5888
"54206",2883
"102724539",0
"50651",114
"473",5490
"102724552",0
"2023",19781
"102465436",0
"100505975",0
"765",10
"155184",0
"6518",626
"80045",70
"407040",32
"9563",2852
"80176",342
"100506022",0
"84275",165
"199953",112
"5293",5049
"644997",239
"101929074",1
"22883",3785
"56998",69
"84328",504
"64802",182
"100847055",0
"105376719",1
"116362",85
"10277",4619
"23095",10755
"100422970",0
"5226",5301
"100526739",0
"378708",0
"1325",1
"1676",332
"5195",1186
"54897",498
"148345",35
"23435",5063
"10747",166
"6723",372
"5394",3177
"2475",6581
"100873935",0
"10218",174
"29914",1054
"57540",6
"101929181",0
"26232",36
"93611",285
"26270",301
"10459",381
"374946",9
"57085",543
"284498",2
"102724659",0
"4524",2313
"1185",1384
"100379251",7
"4878",87
"4879",1
"26829",2
"90231",872
"5351",5627
"9927",5145
"60672",473
"102466982",0
"943",37
"102465836",0
"7133",1760
"100616438",0
"55187",21784
"677885",278
"9249",696
"102466722",0
"343066",0
"126767",0
"93190",0
"390999",0
"65121",0
"440560",9
"343069",493
"65122",0
"400735",9
"343071",0
"441871",2
"440561",13
"653606",0
"102724742",0
"101929983",6
"649330",11
"441873",6
"649324",1
"440563",27
"645354",1
"645359",6
"101060301",11
"343070",6
"400736",0
"391003",0
"343068",8
"391002",2
"645382",0
"653619",8
"729528",0
"645414",0
"391004",4
"645425",3
"126755",0
"10630",380
"7799",6269
"23254",185
"200197",7
"55092",411
"727684",653
"114827",1292
"101927417",2
"79180",4348
"11330",27
"63036",22
"51032",46
"842",350
"23341",1183
"79814",58
"84301",1643
"6248",395
"23207",4967
"284723",9
"388595",15
"54751",778
"440567",402
"729614",0
"23013",9515
"7709",916
"101928566",0
"149563",0
"27129",114
"1187",45
"1188",10
"348487",4
"1969",696
"128272",82
"101927546",0
"79363",35
"54455",1842
"26099",1138
"374955",37
"55707",2533
"114819",489
"26871",49
"100126512",0
"100126517",0
"102724970",2
"100133301",1
"7195",0
"55672",73102
"84809",524
"11209",501
"26869",49
"729574",16
"100126533",0
"284729",3
"100189045",0
"102723383",16
"6060",49
"11223",359
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",1564
"26870",49
"4237",478
"23400",2170
"6390",2691
"11240",208
"29943",1
"51702",7
"100616188",0
"23569",28
"353238",1
"55920",2402
"55160",5150
"81569",0
"101927876",0
"84966",96
"127707",1
"5081",4
"80834",2
"8659",176
"100616120",0
"100302276",1
"126917",622
"23352",30805
"23065",2240
"51154",482
"246181",196
"22977",141
"100506730",2
"8574",1864
"54896",264
"832",6657
"100532736",0
"440574",228
"644068",239
"4681",53
"3362",7
"255104",508
"54546",0
"23252",300
"30814",0
"5320",1208
"5322",87
"26279",461
"64600",2
"391013",0
"127733",2
"101928017",0
"127731",5
"339505",0
"55450",67
"79594",162
"163933",3
"978",457
"65018",1588
"102464833",0
"100861548",39
"1650",3015
"57576",264
"400745",0
"50809",6360
"8672",6467
"100302155",0
"1889",4764
"100506801",27
"84224",2586
"249",104
"5909",15
"84196",3892
"401944",93
"3339",48834
"23436",1
"10136",0
"101928043",0
"29092",0
"998",4433
"54361",151
"100616433",0
"9923",7211
"2046",1
"102466615",0
"712",24751
"714",7188
"713",19293
"2048",746
"100616391",0
"100422914",2
"646262",0
"729059",0
"23028",2439
"100422866",3
"100616177",0
"7798",1694
"3352",0
"100996511",0
"10236",4319
"80818",719
"148898",18
"6920",470
"55616",1177
"1870",10
"101928163",0
"3399",402
"259283",52
"6135",26334
"6924",1715
"100506963",0
"57095",606
"11313",638
"2582",348
"3155",1008
"2517",2342
"1269",27
"100616492",0
"55629",1143
"10772",1313
"127294",159
"58985",7
"163702",56
"284632",0
"57822",3
"90529",76
"57185",355
"100750325",0
"11123",207
"100506985",1
"400746",8
"10250",8497
"25932",2621
"864",770
"102465437",0
"100616365",0
"25949",1368
"57035",3020
"6007",2646
"23585",1255
"6006",1375
"55219",998
"26119",1636
"57134",1662
"57190",4689
"56181",673
"646471",89
"79000",15
"164091",71
"3925",321
"100500808",0
"5051",300
"2134",7
"7780",0
"105376910",0
"84676",31
"149420",175
"79927",8
"105376887",0
"51042",49
"10256",267
"378807",2
"101928303",0
"64793",576
"83442",1651
"91544",1247
"1043",466
"55057",20
"257101",64
"79727",2
"79947",1436
"101928324",5
"3151",4734
"6195",3360
"100302190",0
"101928728",1
"8289",13943
"55650",466
"84243",1041
"2810",3
"54707",266
"63906",439
"10726",3892
"8431",7
"126695",8
"388610",0
"115572",76
"6548",1448
"23038",2030
"84065",267
"644961",73
"100887744",0
"84958",554
"9064",959
"8547",7
"388611",0
"2827",11
"10163",6714
"27245",1001
"2268",3304
"2537",186
"199870",395
"23673",1587
"5511",707
"677774",979
"9473",1748
"6118",1065
"27293",16
"55113",64
"2140",2255
"5724",1093
"22826",3363
"93974",669
"83667",268
"54797",116
"65979",2440
"1104",525
"8420",52
"6080",82346
"26768",134285
"54952",507
"85028",18
"692212",57
"677838",1460
"677825",367
"692073",155
"115273",57
"6883",306
"26824",10
"10691",625
"105376911",0
"51441",1530
"4985",0
"2035",4856
"399474",14
"6429",3322
"51102",298
"10076",616
"101928460",0
"101929406",0
"4146",4
"100129196",0
"7805",12446
"100616164",1
"400748",0
"9672",1310
"9698",5226
"692234",425
"692235",425
"692200",11
"79570",0
"9410",845
"51538",593
"2170",794
"347735",210
"149086",0
"284551",0
"64129",1514
"3061",43
"553115",350
"1307",3390
"576",60
"100423028",0
"90853",152
"8073",2087
"10657",2451
"55116",250
"100847018",0
"23633",1793
"200081",1752
"79140",99
"56063",216
"55721",180
"149069",112
"8668",1662
"339483",1
"84734",6
"3932",1555
"3065",2618
"65108",49
"100128071",0
"81629",244
"55108",932
"728116",6
"653121",146
"339487",509
"5928",3331
"81493",161
"57648",93
"8565",2281
"64766",1530
"252995",48
"3208",6
"113452",30
"127544",1480
"204",10148
"113451",125
"55223",179
"149076",847
"127550",19
"1912",1646
"100500853",0
"101929464",0
"7579",172
"114784",283
"127540",0
"402779",0
"84970",3
"693137",0
"2709",20
"127534",5
"2707",26
"2701",184
"113444",415
"58512",21
"653160",34
"100506144",86
"9204",2258
"79830",820
"6421",10055
"9202",5561
"79932",2300
"23154",430
"339488",126
"5690",1450
"127703",70
"63967",282
"192670",2207
"26523",2741
"192669",3423
"27285",16
"54936",233
"1296",535
"27095",550
"55700",3013
"9967",5274
"79729",671
"55194",116
"83931",1176
"84967",318
"127700",168
"64960",623
"1441",1704
"2899",27
"100422898",0
"728431",0
"80149",822
"102465438",0
"64769",698
"100847010",0
"79753",271
"7802",67
"29889",2135
"284654",0
"54955",45
"55143",86
"284656",11
"149175",109
"79693",123
"127687",162
"4520",1443
"3633",2599
"10946",3456
"2275",441
"51118",710
"5453",5
"100500801",0
"339442",0
"64121",1040
"100527950",57
"26292",3
"81025",0
"54933",126
"79647",746
