"","14919.Aligned.sortedByCoord.out.bam"
"100287102",258
"653635",8999
"102466751",2
"100302278",0
"645520",24
"79501",2
"729737",10430
"102725121",236
"102723897",8619
"102465909",1
"729759",273
"100132287",9179
"105378947",0
"101928626",0
"102465432",15
"81399",273
"100133331",10137
"100288069",72
"400728",0
"79854",41
"643837",8
"284593",2
"100130417",0
"148398",11
"26155",700
"339451",92
"84069",26
"84808",27
"57801",40
"9636",29
"375790",845
"105369174",0
"105378948",0
"401934",0
"54991",30
"254099",0
"406984",0
"406983",0
"554210",0
"254173",4
"8784",25
"7293",32
"51150",763
"126792",5
"388581",2
"118424",202
"6339",41
"116983",342
"102465434",0
"126789",33
"54973",483
"102465435",0
"80772",67
"83756",48
"1855",263
"102466740",1
"54587",463
"54998",91
"81669",1839
"148413",41
"55052",203
"441869",3
"643965",0
"102724312",0
"64856",29
"219293",104
"83858",760
"55210",613
"339453",8
"29101",360
"643988",5
"142678",244
"8510",106
"984",3017
"728661",2304
"8511",101
"728642",2855
"9906",2213
"65220",603
"2782",2893
"105378949",0
"163688",3
"339456",0
"85452",0
"2563",20
"5590",117
"100506504",3
"199990",108
"105378592",14
"6497",1290
"105378594",23
"79906",125
"100129534",0
"11079",1244
"5192",54
"9651",338
"55229",406
"388585",1
"115110",3
"8764",794
"100996583",0
"127281",43
"79258",0
"100287898",1
"140625",0
"440556",11
"63976",467
"100422968",0
"27237",8
"1953",397
"693135",0
"127262",225
"49856",164
"7161",16
"57212",171
"148870",1
"388588",1
"57470",352
"9731",915
"1677",110
"339448",336
"100133612",0
"728716",0
"284661",0
"55966",11
"100616489",0
"100616421",0
"261734",229
"8514",1152
"26038",10
"6146",4325
"102724450",0
"388591",140
"23463",163
"148645",0
"390992",0
"387509",18
"11332",722
"54626",0
"83715",17
"100422975",0
"8718",292
"57449",462
"79707",560
"80835",4
"3104",301
"9903",86
"148479",166
"90326",131
"55735",625
"100505887",0
"23261",462
"9341",544
"8863",1924
"10911",6
"3604",116
"11315",3499
"54206",1519
"102724539",0
"50651",37
"473",2511
"102724552",0
"2023",9624
"102465436",0
"100505975",0
"765",6
"155184",1
"6518",249
"80045",28
"407040",12
"9563",1149
"80176",123
"100506022",0
"84275",86
"199953",48
"5293",2047
"644997",134
"101929074",0
"22883",2362
"56998",31
"84328",275
"64802",119
"100847055",0
"105376719",0
"116362",48
"10277",2680
"23095",5577
"100422970",0
"5226",2091
"100526739",0
"378708",0
"1325",0
"1676",120
"5195",426
"54897",203
"148345",7
"23435",2943
"10747",117
"6723",177
"5394",1418
"2475",3058
"100873935",0
"10218",102
"29914",583
"57540",7
"101929181",0
"26232",7
"93611",131
"26270",137
"10459",136
"374946",1
"57085",212
"284498",2
"102724659",0
"4524",842
"1185",671
"100379251",1
"4878",24
"4879",0
"26829",2
"90231",405
"5351",2448
"9927",2304
"60672",224
"102466982",0
"943",29
"102465836",0
"7133",832
"100616438",0
"55187",11242
"677885",130
"9249",290
"102466722",0
"343066",1
"126767",0
"93190",0
"390999",0
"65121",0
"440560",1
"343069",158
"65122",0
"400735",1
"343071",1
"441871",0
"440561",1
"653606",0
"102724742",0
"101929983",1
"649330",7
"441873",1
"649324",0
"440563",10
"645354",0
"645359",1
"101060301",7
"343070",1
"400736",0
"391003",1
"343068",1
"391002",0
"645382",0
"653619",1
"729528",0
"645414",1
"391004",0
"645425",0
"126755",0
"10630",237
"7799",3010
"23254",55
"200197",1
"55092",237
"727684",325
"114827",1181
"101927417",0
"79180",2003
"11330",6
"63036",14
"51032",27
"842",150
"23341",643
"79814",37
"84301",663
"6248",164
"23207",1861
"284723",5
"388595",5
"54751",358
"440567",245
"729614",0
"23013",5437
"7709",305
"101928566",0
"149563",0
"27129",49
"1187",18
"1188",14
"348487",0
"1969",427
"128272",31
"101927546",0
"79363",20
"54455",875
"26099",500
"374955",3
"55707",1218
"114819",212
"26871",33
"100126512",0
"100126517",0
"102724970",2
"100133301",0
"7195",0
"55672",41916
"84809",155
"11209",150
"26869",33
"729574",1
"100126533",0
"284729",1
"100189045",0
"102723383",1
"6060",33
"11223",113
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",803
"26870",33
"4237",109
"23400",811
"6390",1573
"11240",103
"29943",0
"51702",0
"100616188",0
"23569",8
"353238",3
"55920",950
"55160",2062
"81569",0
"101927876",0
"84966",89
"127707",1
"5081",1
"80834",2
"8659",57
"100616120",0
"100302276",1
"126917",335
"23352",12650
"23065",1118
"51154",163
"246181",65
