"","12898.Aligned.sortedByCoord.out.bam"
"100287102",237
"653635",6846
"102466751",2
"100302278",46
"645520",263
"79501",99
"729737",10959
"102725121",199
"102723897",6708
"102465909",2
"729759",761
"100132287",11490
"105378947",3
"101928626",0
"102465432",18
"81399",761
"100133331",12339
"100288069",55
"400728",2
"79854",68
"643837",11
"284593",11
"100130417",0
"148398",9
"26155",565
"339451",44
"84069",14
"84808",15
"57801",38
"9636",12
"375790",469
"105369174",0
"105378948",0
"401934",0
"54991",22
"254099",0
"406984",2
"406983",0
"554210",0
"254173",39
"8784",2
"7293",4
"51150",378
"126792",7
"388581",2
"118424",110
"6339",31
"116983",174
"102465434",0
"126789",22
"54973",388
"102465435",0
"80772",23
"83756",14
"1855",137
"102466740",0
"54587",391
"54998",53
"81669",1200
"148413",31
"55052",180
"441869",0
"643965",1
"102724312",0
"64856",12
"219293",73
"83858",520
"55210",468
"339453",3
"29101",199
"643988",0
"142678",139
"8510",75
"984",1766
"728661",809
"8511",74
"728642",1517
"9906",739
"65220",284
"2782",1914
"105378949",0
"163688",6
"339456",1
"85452",33
"2563",39
"5590",69
"100506504",2
"199990",59
"105378592",6
"6497",764
"105378594",30
"79906",84
"100129534",0
"11079",619
"5192",41
"9651",63
"55229",252
"388585",0
"115110",3
"8764",231
"100996583",0
"127281",8
"79258",13
"100287898",2
"140625",1
"440556",20
"63976",466
"100422968",0
"27237",5
"1953",379
"693135",0
"127262",133
"49856",66
"7161",12
"57212",162
"148870",12
"388588",1
"57470",230
"9731",897
"1677",111
"339448",292
"100133612",0
"728716",0
"284661",0
"55966",15
"100616489",0
"100616421",0
"261734",152
"8514",535
"26038",85
"6146",3190
"102724450",0
"388591",53
"23463",96
"148645",0
"390992",1
"387509",15
"11332",163
"54626",1
"83715",42
"100422975",0
"8718",87
"57449",403
"79707",438
"80835",7
"3104",186
"9903",48
"148479",88
"90326",70
"55735",493
"100505887",0
"23261",359
"9341",438
"8863",2523
"10911",15
"3604",36
"11315",1876
"54206",1388
"102724539",0
"50651",35
"473",2046
"102724552",1
"2023",4117
"102465436",0
"100505975",0
"765",6
"155184",5
"6518",73
"80045",5
"407040",8
"9563",657
"80176",85
"100506022",0
"84275",87
"199953",25
"5293",735
"644997",50
"101929074",0
"22883",1372
"56998",15
"84328",168
"64802",57
"100847055",0
"105376719",0
"116362",90
"10277",1827
"23095",4888
"100422970",0
"5226",678
"100526739",0
"378708",0
"1325",1
"1676",115
"5195",327
"54897",146
"148345",17
"23435",2012
"10747",97
"6723",121
"5394",1318
"2475",1971
"100873935",0
"10218",154
"29914",380
"57540",20
"101929181",0
"26232",5
"93611",36
"26270",62
"10459",89
"374946",4
"57085",97
"284498",3
"102724659",0
"4524",499
"1185",465
"100379251",0
"4878",38
"4879",1
"26829",0
"90231",247
"5351",1463
"9927",1550
"60672",109
"102466982",0
"943",9
"102465836",0
"7133",296
"100616438",0
"55187",8289
"677885",39
"9249",209
"102466722",0
"343066",5
"126767",6
"93190",0
"390999",11
"65121",70
"440560",331
"343069",110
"65122",49
"400735",339
"343071",52
"441871",47
"440561",408
"653606",39
"102724742",34
"101929983",346
"649330",40
"441873",397
"649324",20
"440563",42
"645354",20
"645359",389
"101060301",39
"343070",373
"400736",65
"391003",84
"343068",403
"391002",44
"645382",39
"653619",342
"729528",99
"645414",92
"391004",44
"645425",64
"126755",3
"10630",147
"7799",2299
"23254",55
"200197",2
"55092",81
"727684",99
"114827",119
"101927417",0
"79180",592
"11330",15
"63036",23
"51032",24
"842",124
"23341",460
"79814",26
"84301",359
"6248",105
"23207",1305
"284723",7
"388595",18
"54751",402
"440567",144
"729614",0
"23013",4708
"7709",167
"101928566",0
"149563",0
"27129",91
"1187",78
"1188",67
"348487",7
"1969",245
"128272",20
"101927546",0
"79363",13
"54455",574
"26099",342
"374955",11
"55707",429
"114819",107
"26871",9
"100126512",0
"100126517",0
"102724970",21
"100133301",13
"7195",0
"55672",37973
"84809",94
"11209",151
"26869",9
"729574",70
"100126533",0
"284729",22
"100189045",0
"102723383",70
"6060",9
"11223",110
"100500876",1
"100189298",0
"7193",0
"791226",0
"9696",351
"26870",9
"4237",211
"23400",524
"6390",892
"11240",26
"29943",13
"51702",10
"100616188",0
"23569",19
"353238",4
"55920",459
"55160",841
"81569",5
"101927876",0
"84966",187
"127707",4
"5081",15
"80834",21
"8659",62
"100616120",0
"100302276",2
"126917",162
"23352",10290
"23065",580
"51154",126
"246181",79
"22977",69
"100506730",0
"8574",471
"54896",63
"832",1893
"100532736",0
"440574",70
"644068",46
"4681",12
"3362",7
"255104",102
"54546",2
"23252",120
"30814",0
"5320",383
"5322",119
"26279",21
"64600",1
"391013",1
"127733",6
"101928017",0
"127731",19
"339505",1
"55450",17
"79594",66
"163933",2
"978",34
"65018",392
"102464833",0
"100861548",30
"1650",912
"57576",116
"400745",2
"50809",2109
"8672",2257
"100302155",0
"1889",2334
"100506801",13
"84224",1187
"249",26
"5909",21
"84196",1538
"401944",51
"3339",18753
"23436",18
"10136",20
"101928043",0
"29092",0
"998",2162
"54361",43
"100616433",0
"9923",2275
"2046",18
"102466615",0
"712",2790
"714",1655
"713",2879
"2048",339
"100616391",0
"100422914",0
"646262",2
"729059",0
"23028",1032
"100422866",0
"100616177",0
"7798",627
"3352",10
"100996511",3
"10236",1780
"80818",261
"148898",5
"6920",262
"55616",281
"1870",3
"101928163",0
"3399",104
"259283",26
"6135",12139
"6924",725
"100506963",0
"57095",234
"11313",137
"2582",66
"3155",340
"2517",788
"1269",5
"100616492",0
"55629",469
"10772",495
"127294",58
"58985",12
"163702",29
"284632",0
"57822",17
"90529",47
"57185",94
"100750325",0
"11123",50
"100506985",2
"400746",6
"10250",4696
"25932",1808
"864",58
"102465437",0
"100616365",0
"25949",937
"57035",835
"6007",500
"23585",277
"6006",315
"55219",454
"26119",355
"57134",338
"57190",1291
"56181",192
"646471",14
"79000",17
"164091",54
"3925",211
"100500808",0
"5051",96
"2134",10
"7780",5
"105376910",0
"84676",5
"149420",74
"79927",4
"105376887",0
"51042",20
"10256",135
"378807",24
"101928303",0
"64793",163
"83442",569
"91544",200
"1043",63
"55057",17
"257101",17
"79727",5
"79947",373
"101928324",4
"3151",2103
"6195",565
"100302190",0
"101928728",1
"8289",5035
"55650",151
"84243",157
"2810",2
"54707",63
"63906",129
"10726",1438
"8431",4
"126695",6
"388610",2
"115572",42
"6548",412
"23038",519
"84065",65
"644961",36
"100887744",0
"84958",99
"9064",609
"8547",2
"388611",2
"2827",10
"10163",3976
"27245",278
"2268",524
"2537",41
"199870",205
"23673",571
"5511",264
"677774",137
"9473",296
"6118",297
"27293",18
"55113",19
"2140",812
"5724",136
"22826",1864
"93974",207
"83667",53
"54797",26
"65979",1253
"1104",85
"8420",24
"6080",11505
"26768",20330
"54952",144
"85028",7
"692212",12
"677838",146
"677825",58
"692073",21
"115273",6
"6883",117
"26824",2
"10691",232
"105376911",1
"51441",514
"4985",6
"2035",1221
"399474",2
"6429",1251
"51102",114
"10076",242
"101928460",0
"101929406",1
"4146",0
"100129196",0
"7805",3246
"100616164",0
"400748",0
"9672",229
"9698",1585
"692234",66
"692235",66
"692200",2
"79570",4
"9410",294
"51538",305
"2170",231
"347735",39
"149086",2
"284551",0
"64129",656
"3061",20
"553115",103
"1307",1238
"576",29
"100423028",1
"90853",35
"8073",782
"10657",926
"55116",73
"100847018",0
"23633",629
"200081",678
"79140",33
"56063",74
"55721",72
"149069",28
"8668",616
"339483",5
"84734",2
"3932",171
"3065",683
"65108",7
"100128071",0
"81629",76
"55108",187
"728116",3
"653121",111
"339487",248
"5928",1252
"81493",81
"57648",38
"8565",670
"64766",547
"252995",19
"3208",5
"113452",5
"127544",306
"204",5050
"113451",33
"55223",42
"149076",481
"127550",6
"1912",512
"100500853",0
"101929464",0
"7579",67
"114784",161
"127540",2
"402779",0
"84970",17
"693137",0
"2709",12
"127534",9
"2707",12
"2701",108
"113444",118
"58512",21
"653160",14
"100506144",18
"9204",1116
"79830",488
"6421",4194
"9202",2438
"79932",776
"23154",93
"339488",31
"5690",514
"127703",27
"63967",188
"192670",867
"26523",701
"192669",1213
"27285",17
"54936",35
"1296",161
"27095",154
"55700",670
"9967",2678
"79729",110
"55194",15
"83931",249
"84967",69
"127700",67
"64960",219
"1441",273
"2899",59
"100422898",0
"728431",0
"80149",87
"102465438",0
"64769",347
"100847010",0
"79753",117
"7802",64
"29889",866
"284654",3
"54955",22
"55143",45
"284656",11
"149175",44
"79693",32
"127687",13
"4520",458
"3633",753
"10946",1369
"2275",97
"51118",394
"5453",2
"100500801",0
"339442",4
"64121",482
"100527950",36
"26292",0
"81025",0
"54933",70
"79647",347
"4725",679
"23499",38941
"643314",1118
"105378950",1
"353500",68
"728448",6
"8761",1561
"101929516",1
