"","16649.Aligned.sortedByCoord.out.bam"
"100287102",330
"653635",11845
"102466751",6
"100302278",2
"645520",104
"79501",33
"729737",10934
"102725121",308
"102723897",12319
"102465909",7
"729759",99
"100132287",12433
"105378947",0
"101928626",1
"102465432",22
"81399",99
"100133331",13289
"100288069",74
"400728",0
"79854",65
"643837",35
"284593",1
"100130417",0
"148398",9
"26155",1166
"339451",82
"84069",25
"84808",138
"57801",228
"9636",8
"375790",1059
"105369174",0
"105378948",0
"401934",0
"54991",55
"254099",0
"406984",0
"406983",0
"554210",0
"254173",9
"8784",0
"7293",3
"51150",831
"126792",6
"388581",2
"118424",203
"6339",43
"116983",423
"102465434",0
"126789",27
"54973",876
"102465435",0
"80772",47
"83756",12
"1855",503
"102466740",0
"54587",700
"54998",123
"81669",2257
"148413",58
"55052",341
"441869",3
"643965",0
"102724312",0
"64856",55
"219293",118
"83858",781
"55210",677
"339453",19
"29101",400
"643988",1
"142678",274
"8510",155
"984",4540
"728661",2742
"8511",149
"728642",3953
"9906",2707
"65220",866
"2782",3618
"105378949",0
"163688",4
"339456",0
"85452",3
"2563",15
"5590",28
"100506504",5
"199990",192
"105378592",15
"6497",2163
"105378594",23
"79906",143
"100129534",1
"11079",1006
"5192",66
"9651",36
"55229",433
"388585",2
"115110",0
"8764",288
"100996583",0
"127281",32
"79258",10
"100287898",6
"140625",1
"440556",43
"63976",1774
"100422968",0
"27237",10
"1953",839
"693135",0
"127262",345
"49856",154
"7161",3
"57212",348
"148870",5
"388588",6
"57470",614
"9731",1778
"1677",121
"339448",379
"100133612",0
"728716",0
"284661",0
"55966",13
"100616489",0
"100616421",0
"261734",247
"8514",264
"26038",611
"6146",5648
"102724450",0
"388591",77
"23463",257
"148645",0
"390992",0
"387509",25
"11332",290
"54626",0
"83715",5
"100422975",0
"8718",92
"57449",497
"79707",804
"80835",9
"3104",345
"9903",166
"148479",191
"90326",166
"55735",822
"100505887",0
"23261",836
"9341",766
"8863",8271
"10911",24
"3604",7
"11315",4109
"54206",3852
"102724539",1
"50651",83
"473",4628
"102724552",1
"2023",6786
"102465436",0
"100505975",0
"765",0
"155184",1
"6518",9
"80045",12
"407040",9
"9563",1147
"80176",121
"100506022",0
"84275",103
"199953",41
"5293",717
