"","16111.Aligned.sortedByCoord.out.bam"
"100287102",53
"653635",3982
"102466751",0
"100302278",0
"645520",24
"79501",13
"729737",5719
"102725121",41
"102723897",4250
"102465909",0
"729759",383
"100132287",5069
"105378947",0
"101928626",0
"102465432",4
"81399",383
"100133331",5735
"100288069",39
"400728",0
"79854",38
"643837",15
"284593",1
"100130417",0
"148398",11
"26155",615
"339451",33
"84069",4
"84808",12
"57801",68
"9636",12
"375790",384
"105369174",0
"105378948",0
"401934",0
"54991",33
"254099",0
"406984",0
"406983",0
"554210",0
"254173",5
"8784",9
"7293",7
"51150",505
"126792",5
"388581",3
"118424",131
"6339",33
"116983",273
"102465434",0
"126789",13
"54973",345
"102465435",1
"80772",18
"83756",7
"1855",201
"102466740",1
"54587",605
"54998",54
"81669",1504
"148413",25
"55052",151
"441869",2
"643965",0
"102724312",0
"64856",14
"219293",55
"83858",459
"55210",414
"339453",9
"29101",206
"643988",1
"142678",148
"8510",121
"984",1984
"728661",954
"8511",118
"728642",1529
"9906",899
"65220",352
"2782",1679
"105378949",0
"163688",4
"339456",0
"85452",1
"2563",10
"5590",25
"100506504",2
"199990",82
"105378592",3
"6497",740
"105378594",10
"79906",70
"100129534",2
"11079",555
"5192",33
"9651",44
"55229",208
"388585",0
"115110",0
"8764",248
"100996583",0
"127281",7
"79258",9
"100287898",0
"140625",0
"440556",19
"63976",555
"100422968",0
"27237",8
"1953",446
"693135",0
"127262",90
"49856",98
"7161",4
"57212",141
"148870",4
"388588",0
"57470",279
"9731",706
"1677",53
"339448",215
"100133612",0
"728716",0
"284661",0
"55966",9
"100616489",0
"100616421",0
"261734",146
"8514",302
"26038",48
"6146",2722
"102724450",0
"388591",51
"23463",98
"148645",0
"390992",0
"387509",11
"11332",112
"54626",0
"83715",4
"100422975",0
"8718",60
"57449",330
"79707",373
"80835",4
"3104",145
"9903",72
"148479",101
"90326",78
"55735",401
"100505887",0
"23261",333
"9341",307
"8863",1653
"10911",2
"3604",20
"11315",1763
"54206",1803
"102724539",0
"50651",38
"473",1982
"102724552",0
"2023",5081
"102465436",0
"100505975",0
"765",5
"155184",0
"6518",72
"80045",10
"407040",3
"9563",575
"80176",110
"100506022",0
"84275",60
"199953",21
"5293",562
"644997",27
"101929074",0
"22883",1758
"56998",18
"84328",183
"64802",51
"100847055",0
"105376719",0
"116362",84
"10277",1565
"23095",3472
"100422970",0
"5226",385
"100526739",0
"378708",0
"1325",0
"1676",105
"5195",254
"54897",187
"148345",5
"23435",1450
"10747",63
"6723",129
"5394",1088
"2475",2011
"100873935",0
"10218",110
"29914",284
"57540",0
"101929181",0
"26232",1
"93611",47
"26270",50
"10459",96
"374946",1
"57085",58
"284498",1
"102724659",0
"4524",533
"1185",376
"100379251",2
"4878",11
"4879",1
"26829",0
"90231",249
"5351",1267
"9927",1213
"60672",86
"102466982",0
"943",3
"102465836",0
"7133",271
"100616438",0
"55187",7501
"677885",98
"9249",277
"102466722",0
"343066",1
"126767",0
"93190",1
"390999",0
"65121",1
"440560",16
"343069",132
"65122",2
"400735",17
"343071",1
"441871",1
"440561",19
"653606",0
"102724742",9
"101929983",15
"649330",10
"441873",23
"649324",6
"440563",8
"645354",6
"645359",21
"101060301",10
"343070",18
"400736",9
"391003",7
"343068",20
"391002",2
"645382",0
"653619",20
"729528",10
"645414",8
"391004",2
"645425",11
"126755",0
"10630",110
"7799",1967
"23254",76
"200197",0
"55092",60
"727684",89
"114827",86
"101927417",1
"79180",683
"11330",3
"63036",9
"51032",18
"842",122
"23341",343
"79814",8
"84301",316
"6248",87
"23207",1019
"284723",5
"388595",17
"54751",520
"440567",133
"729614",0
"23013",3412
"7709",204
"101928566",0
"149563",0
"27129",173
"1187",24
"1188",14
"348487",2
"1969",227
"128272",23
"101927546",0
"79363",19
"54455",580
"26099",344
"374955",5
"55707",288
"114819",136
"26871",12
"100126512",0
"100126517",0
"102724970",5
"100133301",0
"7195",0
"55672",23328
"84809",126
"11209",114
"26869",12
"729574",3
"100126533",0
"284729",0
"100189045",0
"102723383",3
"6060",12
"11223",66
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",344
"26870",12
"4237",229
"23400",572
"6390",788
"11240",9
"29943",2
"51702",3
"100616188",0
"23569",11
"353238",1
"55920",424
"55160",1239
"81569",0
"101927876",0
"84966",104
"127707",0
"5081",3
"80834",1
"8659",63
"100616120",0
"100302276",0
"126917",217
"23352",9429
"23065",665
"51154",128
"246181",41
"22977",49
"100506730",0
"8574",388
"54896",52
"832",1983
"100532736",0
"440574",65
"644068",52
"4681",6
"3362",1
"255104",87
"54546",0
"23252",101
"30814",0
"5320",2945
"5322",73
"26279",0
"64600",0
"391013",1
"127733",0
"101928017",0
"127731",1
