"","16167.Aligned.sortedByCoord.out.bam"
"100287102",117
"653635",7352
"102466751",0
"100302278",7
"645520",10
"79501",7
"729737",10049
"102725121",100
"102723897",8041
"102465909",0
"729759",415
"100132287",9491
"105378947",7
"101928626",0
"102465432",10
"81399",415
"100133331",10414
"100288069",86
"400728",1
"79854",58
"643837",13
"284593",0
"100130417",0
"148398",8
"26155",699
"339451",72
"84069",17
"84808",15
"57801",69
"9636",33
"375790",575
"105369174",0
"105378948",1
"401934",0
"54991",41
"254099",0
"406984",0
"406983",0
"554210",0
"254173",2
"8784",0
"7293",3
"51150",605
"126792",2
"388581",1
"118424",209
"6339",41
"116983",373
"102465434",0
"126789",27
"54973",544
"102465435",0
"80772",28
"83756",18
"1855",228
"102466740",0
"54587",1048
"54998",72
"81669",2378
"148413",32
"55052",223
"441869",0
"643965",0
"102724312",0
"64856",21
"219293",100
"83858",631
"55210",540
"339453",13
"29101",367
"643988",5
"142678",204
"8510",140
"984",3162
"728661",2064
"8511",140
"728642",3295
"9906",1987
"65220",687
"2782",2038
"105378949",0
"163688",4
"339456",1
"85452",9
"2563",8
"5590",98
"100506504",0
"199990",103
"105378592",6
"6497",981
"105378594",18
"79906",77
"100129534",1
"11079",736
"5192",55
"9651",140
"55229",375
"388585",0
"115110",2
"8764",518
"100996583",1
"127281",26
"79258",3
"100287898",0
"140625",0
"440556",17
"63976",342
"100422968",0
"27237",8
"1953",523
"693135",2
"127262",131
"49856",137
"7161",9
"57212",174
"148870",0
"388588",0
"57470",362
"9731",1109
"1677",80
"339448",325
"100133612",0
"728716",0
"284661",0
"55966",14
"100616489",0
"100616421",0
"261734",257
"8514",1151
"26038",28
"6146",3355
"102724450",0
"388591",69
"23463",142
"148645",0
"390992",0
"387509",13
"11332",149
"54626",0
"83715",9
"100422975",0
"8718",229
"57449",936
"79707",551
"80835",9
"3104",217
"9903",96
"148479",149
"90326",90
"55735",671
"100505887",0
"23261",282
"9341",392
"8863",726
"10911",13
"3604",38
"11315",2147
"54206",1551
"102724539",0
"50651",38
"473",2727
"102724552",0
"2023",4710
"102465436",0
"100505975",0
"765",6
"155184",0
"6518",134
"80045",17
"407040",19
"9563",685
"80176",118
"100506022",0
"84275",92
"199953",38
"5293",1670
"644997",84
"101929074",0
"22883",2201
"56998",26
"84328",177
"64802",82
"100847055",0
"105376719",0
"116362",125
"10277",2310
"23095",5405
"100422970",0
"5226",1373
"100526739",0
"378708",0
"1325",1
"1676",125
"5195",365
"54897",299
"148345",12
"23435",1909
"10747",100
"6723",152
"5394",1879
"2475",3075
"100873935",0
"10218",99
"29914",412
"57540",3
"101929181",0
"26232",1
"93611",76
"26270",68
"10459",137
"374946",1
"57085",166
"284498",1
"102724659",0
"4524",774
"1185",504
"100379251",6
"4878",17
"4879",1
"26829",0
"90231",426
"5351",1884
"9927",1474
"60672",115
"102466982",0
"943",19
