"","16098.Aligned.sortedByCoord.out.bam"
"100287102",797
"653635",7337
"102466751",0
"100302278",319
"645520",810
"79501",264
"729737",5020
"102725121",815
"102723897",7318
"102465909",0
"729759",2468
"100132287",5453
"105378947",0
"101928626",0
"102465432",21
"81399",2468
"100133331",5667
"100288069",76
"400728",0
"79854",71
"643837",21
"284593",3
"100130417",0
"148398",35
"26155",743
"339451",72
"84069",49
"84808",141
"57801",452
"9636",11
"375790",758
"105369174",0
"105378948",1
"401934",0
"54991",38
"254099",2
"406984",4
"406983",7
"554210",3
"254173",43
"8784",16
"7293",8
"51150",559
"126792",3
"388581",4
"118424",267
"6339",51
"116983",294
"102465434",0
"126789",38
"54973",829
"102465435",0
"80772",33
"83756",42
"1855",336
"102466740",0
"54587",406
"54998",91
"81669",2073
"148413",56
"55052",301
"441869",6
"643965",2
"102724312",0
"64856",22
"219293",100
"83858",679
"55210",726
"339453",50
"29101",347
"643988",2
"142678",283
"8510",103
"984",3767
"728661",1963
"8511",102
"728642",3478
"9906",2011
"65220",520
"2782",2176
"105378949",0
"163688",6
"339456",15
"85452",96
"2563",27
"5590",84
"100506504",3
"199990",168
"105378592",17
"6497",2201
"105378594",6
"79906",162
"100129534",3
"11079",830
"5192",64
"9651",61
"55229",449
"388585",4
"115110",0
"8764",202
"100996583",0
"127281",13
"79258",43
"100287898",5
"140625",10
"440556",58
"63976",1644
"100422968",0
"27237",38
"1953",661
"693135",3
"127262",288
"49856",88
"7161",22
"57212",265
"148870",48
"388588",5
"57470",444
"9731",1544
"1677",85
"339448",228
"100133612",0
"728716",0
"284661",0
"55966",35
"100616489",0
"100616421",0
"261734",253
"8514",133
"26038",1151
"6146",4254
"102724450",0
"388591",83
"23463",194
"148645",0
"390992",7
"387509",10
"11332",153
"54626",3
"83715",73
"100422975",0
"8718",44
"57449",236
"79707",619
"80835",21
"3104",271
"9903",111
"148479",273
"90326",173
"55735",548
"100505887",0
"23261",1089
"9341",693
"8863",8619
"10911",47
"3604",24
"11315",2953
"54206",2952
"102724539",0
"50651",107
"473",3908
"102724552",0
"2023",2864
"102465436",0
"100505975",1
"765",27
"155184",68
"6518",43
"80045",10
"407040",4
"9563",873
"80176",169
"100506022",0
"84275",123
"199953",26
"5293",493
"644997",21
"101929074",0
"22883",2703
"56998",11
"84328",379
"64802",89
"100847055",0
"105376719",0
"116362",59
"10277",4222
"23095",6388
"100422970",0
"5226",196
"100526739",0
"378708",0
"1325",0
"1676",212
"5195",553
"54897",777
"148345",35
"23435",2722
"10747",259
"6723",115
"5394",1820
"2475",2973
"100873935",0
"10218",106
"29914",814
"57540",67
"101929181",0
"26232",15
"93611",82
"26270",84
"10459",145
"374946",20
"57085",60
"284498",23
"102724659",1
"4524",447
"1185",498
"100379251",7
"4878",23
"4879",20
"26829",0
"90231",474
"5351",1055
"9927",3000
"60672",70
"102466982",0
"943",37
"102465836",0
"7133",85
"100616438",0
"55187",16379
"677885",231
"9249",305
"102466722",0
"343066",31
"126767",27
"93190",50
"390999",25
"65121",299
"440560",1205
"343069",352
"65122",220
"400735",1207
"343071",217
"441871",161
"440561",1540
"653606",162
"102724742",218
"101929983",1354
"649330",281
"441873",1670
"649324",97
"440563",318
"645354",97
"645359",1650
"101060301",281
"343070",1497
"400736",314
"391003",324
"343068",1485
"391002",155
"645382",202
"653619",1342
"729528",314
"645414",258
"391004",109
"645425",204
"126755",14
"10630",29
"7799",4008
"23254",142
"200197",0
"55092",230
"727684",279
"114827",169
"101927417",0
"79180",226
"11330",39
"63036",51
"51032",40
"842",227
"23341",597
"79814",49
"84301",583
"6248",145
"23207",1014
"284723",10
"388595",40
"54751",764
"440567",237
"729614",0
"23013",8769
"7709",270
"101928566",2
"149563",16
"27129",434
"1187",380
"1188",320
"348487",34
"1969",247
"128272",29
"101927546",0
"79363",54
"54455",1210
"26099",697
"374955",52
"55707",230
"114819",260
"26871",7
"100126512",0
"100126517",0
"102724970",268
"100133301",23
"7195",0
"55672",37456
"84809",146
"11209",515
"26869",7
"729574",215
"100126533",0
"284729",116
"100189045",0
"102723383",216
"6060",7
"11223",399
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",759
"26870",7
"4237",148
"23400",687
"6390",1295
"11240",48
"29943",23
"51702",54
"100616188",0
"23569",48
"353238",52
"55920",323
"55160",2851
"81569",7
"101927876",2
"84966",51
"127707",11
"5081",50
"80834",52
"8659",230
"100616120",0
"100302276",57
"126917",255
"23352",13073
"23065",1193
"51154",94
"246181",100
"22977",75
"100506730",0
"8574",814
"54896",82
"832",2487
"100532736",0
"440574",148
"644068",55
"4681",25
"3362",16
"255104",192
"54546",2
"23252",188
"30814",10
"5320",135
"5322",39
"26279",44
"64600",10
"391013",12
"127733",27
"101928017",0
"127731",83
"339505",1
"55450",28
"79594",94
"163933",1
"978",97
"65018",1159
"102464833",0
"100861548",9
"1650",870
"57576",212
"400745",6
"50809",3711
"8672",3006
"100302155",0
"1889",3709
"100506801",64
"84224",1320
"249",47
"5909",96
"84196",2150
"401944",112
"3339",51264
"23436",34
"10136",43
"101928043",0
"29092",0
"998",1943
"54361",85
"100616433",0
"9923",2400
"2046",43
"102466615",0
"712",513
"714",243
"713",428
"2048",181
"100616391",0
"100422914",0
"646262",11
"729059",12
"23028",1508
"100422866",4
"100616177",0
"7798",666
"3352",26
"100996511",5
"10236",2281
"80818",294
"148898",36
"6920",1020
"55616",330
"1870",11
"101928163",0
"3399",356
"259283",48
"6135",7954
"6924",1287
"100506963",0
"57095",418
"11313",220
"2582",118
"3155",613
"2517",732
"1269",12
"100616492",0
"55629",1566
"10772",998
"127294",134
"58985",36
"163702",24
"284632",1
"57822",49
"90529",49
"57185",67
"100750325",0
"11123",31
"100506985",0
"400746",6
"10250",8496
"25932",5210
"864",48
"102465437",0
"100616365",0
"25949",1255
"57035",979
"6007",761
"23585",428
"6006",533
"55219",714
"26119",367
"57134",313
"57190",848
"56181",443
"646471",21
"79000",103
"164091",70
"3925",230
"100500808",0
"5051",84
"2134",24
"7780",25
"105376910",0
"84676",14
"149420",91
"79927",6
"105376887",0
"51042",22
"10256",319
"378807",72
"101928303",1
"64793",83
