"","14920.Aligned.sortedByCoord.out.bam"
"100287102",206
"653635",4559
"102466751",0
"100302278",93
"645520",474
"79501",226
"729737",9000
"102725121",168
"102723897",4878
"102465909",0
"729759",762
"100132287",7021
"105378947",3
"101928626",0
"102465432",29
"81399",762
"100133331",7566
"100288069",47
"400728",0
"79854",63
"643837",21
"284593",14
"100130417",0
"148398",19
"26155",986
"339451",56
"84069",25
"84808",19
"57801",78
"9636",49
"375790",605
"105369174",0
"105378948",1
"401934",0
"54991",56
"254099",3
"406984",0
"406983",2
"554210",2
"254173",35
"8784",27
"7293",19
"51150",599
"126792",5
"388581",8
"118424",231
"6339",21
"116983",292
"102465434",0
"126789",11
"54973",345
"102465435",1
"80772",27
"83756",24
"1855",153
"102466740",3
"54587",260
"54998",58
"81669",1582
"148413",32
"55052",378
"441869",5
"643965",0
"102724312",0
"64856",34
"219293",116
"83858",576
"55210",517
"339453",7
"29101",309
"643988",2
"142678",124
"8510",61
"984",3371
"728661",826
"8511",60
"728642",3303
"9906",807
"65220",437
"2782",2120
"105378949",1
"163688",5
"339456",15
"85452",43
"2563",8
"5590",55
"100506504",10
"199990",107
"105378592",4
"6497",941
"105378594",3
"79906",88
"100129534",3
"11079",956
"5192",80
"9651",117
"55229",300
"388585",1
"115110",2
"8764",325
"100996583",0
"127281",8
"79258",26
"100287898",2
"140625",15
"440556",18
"63976",442
"100422968",0
"27237",27
"1953",285
"693135",0
"127262",151
"49856",87
"7161",18
"57212",115
"148870",5
"388588",4
"57470",379
"9731",858
"1677",78
"339448",346
"100133612",1
"728716",0
"284661",0
"55966",37
"100616489",0
"100616421",0
"261734",275
"8514",650
"26038",337
"6146",3882
"102724450",0
"388591",50
"23463",217
"148645",0
"390992",2
"387509",15
"11332",287
"54626",1
"83715",47
"100422975",0
"8718",125
"57449",376
"79707",768
"80835",16
"3104",198
"9903",65
"148479",117
"90326",103
"55735",683
"100505887",0
"23261",506
"9341",569
"8863",2744
"10911",25
"3604",51
"11315",2839
"54206",2232
"102724539",0
"50651",44
"473",2181
"102724552",0
"2023",9436
"102465436",0
"100505975",0
"765",28
"155184",21
"6518",242
"80045",20
"407040",9
"9563",922
"80176",87
"100506022",0
"84275",115
"199953",37
"5293",970
"644997",79
"101929074",0
"22883",2131
"56998",9
"84328",372
"64802",93
"100847055",0
"105376719",0
"116362",105
"10277",1647
"23095",3991
"100422970",0
"5226",1472
"100526739",0
"378708",1
"1325",1
"1676",170
"5195",291
"54897",258
"148345",15
"23435",1701
"10747",89
"6723",207
"5394",1579
"2475",2545
"100873935",0
"10218",139
"29914",406
"57540",39
"101929181",0
"26232",15
"93611",84
"26270",103
"10459",163
"374946",15
"57085",135
"284498",8
"102724659",0
"4524",493
"1185",371
"100379251",0
"4878",24
"4879",6
"26829",3
"90231",222
"5351",1505
"9927",1616
"60672",140
"102466982",0
"943",37
"102465836",0
"7133",513
"100616438",0
"55187",10157
"677885",109
"9249",322
"102466722",0
"343066",25
"126767",19
"93190",4
"390999",18
"65121",111
"440560",428
"343069",298
"65122",79
"400735",456
"343071",82
"441871",46
"440561",526
"653606",78
"102724742",52
"101929983",436
"649330",108
"441873",529
"649324",62
"440563",140
"645354",62
"645359",520
"101060301",105
"343070",510
"400736",123
"391003",135
"343068",534
"391002",42
"645382",66
"653619",502
"729528",121
"645414",103
"391004",40
"645425",82
"126755",1
"10630",149
"7799",2691
"23254",97
"200197",0
"55092",171
"727684",134
"114827",477
"101927417",0
"79180",1201
"11330",24
"63036",52
"51032",63
"842",91
"23341",536
"79814",46
"84301",567
"6248",122
"23207",974
"284723",7
"388595",7
"54751",364
"440567",352
"729614",0
"23013",5305
"7709",264
"101928566",2
"149563",5
"27129",266
"1187",146
"1188",163
"348487",23
"1969",258
"128272",39
"101927546",0
"79363",20
"54455",678
"26099",400
"374955",18
"55707",447
"114819",106
"26871",34
"100126512",0
"100126517",0
"102724970",82
"100133301",12
"7195",0
"55672",17474
"84809",103
"11209",279
"26869",34
"729574",88
"100126533",0
"284729",52
"100189045",0
"102723383",88
"6060",34
"11223",234
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",416
"26870",34
"4237",108
"23400",501
"6390",1303
"11240",73
"29943",22
"51702",28
"100616188",0
"23569",52
"353238",18
"55920",771
"55160",1095
"81569",3
"101927876",0
"84966",48
"127707",19
"5081",26
"80834",33
"8659",97
"100616120",0
"100302276",5
"126917",328
"23352",11666
"23065",1059
"51154",202
"246181",91
"22977",83
"100506730",0
"8574",582
"54896",94
"832",3133
"100532736",0
"440574",130
"644068",60
"4681",8
"3362",9
"255104",145
"54546",3
"23252",114
"30814",1
"5320",6022
"5322",36
"26279",88
"64600",5
"391013",2
"127733",6
"101928017",0
"127731",39
"339505",1
"55450",20
"79594",61
"163933",7
"978",80
"65018",293
"102464833",0
"100861548",10
"1650",1570
"57576",161
"400745",8
"50809",2394
"8672",4072
"100302155",0
"1889",2909
"100506801",14
"84224",772
"249",131
"5909",50
"84196",1856
"401944",39
"3339",23548
"23436",35
"10136",25
"101928043",1
"29092",0
"998",2746
"54361",54
"100616433",0
"9923",1902
"2046",26
"102466615",0
"712",4986
"714",2022
"713",4669
"2048",279
"100616391",0
"100422914",0
"646262",4
"729059",2
"23028",1058
"100422866",0
"100616177",0
"7798",867
"3352",28
"100996511",0
"10236",3122
"80818",318
"148898",16
"6920",290
"55616",305
"1870",10
"101928163",0
"3399",337
"259283",48
"6135",7465
"6924",914
"100506963",0
"57095",465
"11313",206
"2582",118
"3155",409
"2517",807
"1269",5
"100616492",0
"55629",863
"10772",909
"127294",82
"58985",20
"163702",33
"284632",0
"57822",21
"90529",56
"57185",87
"100750325",0
"11123",112
"100506985",2
"400746",14
"10250",4095
"25932",2848
"864",137
"102465437",1
"100616365",0
"25949",1332
"57035",996
"6007",1089
"23585",574
"6006",520
"55219",533
"26119",357
"57134",337
"57190",1132
"56181",225
"646471",15
"79000",25
"164091",49
"3925",224
"100500808",0
"5051",100
"2134",27
"7780",8
"105376910",1
"84676",7
"149420",80
"79927",1
"105376887",0
"51042",28
"10256",130
"378807",36
"101928303",2
"64793",189
"83442",625
"91544",232
"1043",110
"55057",42
"257101",72
"79727",12
"79947",404
"101928324",3
"3151",2995
"6195",639
"100302190",0
"101928728",0
"8289",4044
"55650",132
"84243",229
"2810",7
"54707",92
"63906",162
"10726",1478
"8431",5
"126695",14
"388610",2
"115572",109
"6548",466
"23038",405
"84065",63
"644961",22
"100887744",0
"84958",117
"9064",692
"8547",22
"388611",2
"2827",11
"10163",3906
"27245",453
"2268",901
"2537",136
"199870",252
"23673",859
"5511",339
"677774",735
"9473",487
"6118",538
"27293",18
"55113",34
"2140",938
"5724",320
"22826",2854
"93974",269
"83667",52
"54797",41
"65979",1033
"1104",173
"8420",20
"6080",21507
"26768",42286
"54952",199
"85028",12
"692212",56
"677838",1027
"677825",227
"692073",75
"115273",8
"6883",115
"26824",6
"10691",260
"105376911",3
"51441",640
"4985",2
"2035",1824
"399474",5
"6429",1604
"51102",153
"10076",242
"101928460",1
"101929406",0
"4146",16
"100129196",0
"7805",3687
"100616164",0
"400748",0
"9672",227
"9698",2060
"692234",309
"692235",309
