"","16125.Aligned.sortedByCoord.out.bam"
"100287102",154
"653635",6240
"102466751",0
"100302278",3
"645520",50
"79501",4
"729737",11880
"102725121",131
"102723897",6272
"102465909",0
"729759",708
"100132287",10244
"105378947",0
"101928626",0
"102465432",18
"81399",708
"100133331",11001
"100288069",58
"400728",1
"79854",60
"643837",13
"284593",1
"100130417",0
"148398",17
"26155",1134
"339451",58
"84069",8
"84808",12
"57801",143
"9636",43
"375790",840
"105369174",0
"105378948",1
"401934",0
"54991",43
"254099",0
"406984",0
"406983",0
"554210",0
"254173",4
"8784",9
"7293",19
"51150",959
"126792",1
"388581",2
"118424",273
"6339",26
"116983",353
"102465434",0
"126789",33
"54973",468
"102465435",0
"80772",38
"83756",20
"1855",314
"102466740",0
"54587",458
"54998",143
"81669",1880
"148413",38
"55052",321
"441869",3
"643965",0
"102724312",0
"64856",34
"219293",125
"83858",831
"55210",725
"339453",3
"29101",503
"643988",1
"142678",157
"8510",155
"984",3260
"728661",1432
"8511",153
"728642",3027
"9906",1377
"65220",701
"2782",3346
"105378949",1
"163688",1
"339456",2
"85452",3
"2563",13
"5590",69
"100506504",2
"199990",131
"105378592",8
"6497",1399
"105378594",27
"79906",109
"100129534",0
"11079",1382
"5192",58
"9651",150
"55229",353
"388585",0
"115110",0
"8764",339
"100996583",0
"127281",12
"79258",2
"100287898",1
"140625",1
"440556",17
"63976",552
"100422968",0
"27237",16
"1953",596
"693135",0
"127262",256
"49856",146
"7161",7
"57212",163
"148870",6
"388588",2
"57470",423
"9731",1142
"1677",101
"339448",361
"100133612",0
"728716",0
"284661",0
"55966",0
"100616489",0
"100616421",0
"261734",301
"8514",808
"26038",138
"6146",4664
"102724450",0
"388591",36
"23463",235
"148645",0
"390992",0
"387509",21
"11332",334
"54626",1
"83715",10
"100422975",0
"8718",142
"57449",510
"79707",887
"80835",9
"3104",288
"9903",91
"148479",196
"90326",108
"55735",748
"100505887",0
"23261",495
"9341",729
"8863",2296
"10911",6
"3604",37
"11315",4190
"54206",5645
"102724539",0
"50651",87
"473",3213
"102724552",0
"2023",12865
"102465436",0
"100505975",0
"765",2
"155184",0
"6518",245
"80045",16
"407040",0
"9563",932
"80176",165
"100506022",0
"84275",136
"199953",49
"5293",1368
"644997",94
"101929074",0
"22883",2748
"56998",34
"84328",307
"64802",131
"100847055",0
"105376719",0
"116362",222
"10277",2424
"23095",6074
"100422970",0
"5226",1555
"100526739",0
"378708",1
"1325",0
"1676",181
"5195",401
"54897",398
"148345",3
"23435",2225
"10747",71
"6723",347
"5394",1858
"2475",3680
"100873935",1
"10218",453
"29914",559
"57540",7
"101929181",0
"26232",5
"93611",77
"26270",109
"10459",173
"374946",1
"57085",180
"284498",1
"102724659",0
"4524",723
"1185",492
"100379251",0
"4878",22
"4879",0
"26829",0
"90231",426
"5351",3171
"9927",2720
"60672",170
"102466982",0
"943",20
"102465836",0
"7133",856
"100616438",0
"55187",12406
"677885",177
"9249",548
"102466722",0
"343066",0
"126767",0
"93190",0
"390999",0
"65121",4
"440560",17
"343069",255
"65122",12
"400735",28
"343071",0
"441871",5
"440561",26
"653606",1
"102724742",3
"101929983",19
"649330",22
"441873",30
"649324",23
"440563",26
"645354",23
"645359",30
"101060301",22
"343070",27
"400736",3
"391003",4
"343068",32
"391002",9
"645382",0
"653619",24
"729528",14
"645414",1
"391004",1
"645425",3
"126755",3
"10630",285
"7799",2916
"23254",136
"200197",0
"55092",106
"727684",136
"114827",142
"101927417",0
"79180",1747
"11330",10
"63036",17
"51032",29
"842",200
"23341",662
"79814",30
"84301",646
"6248",149
"23207",1489
"284723",12
"388595",10
"54751",993
"440567",298
"729614",0
"23013",5949
"7709",324
"101928566",0
"149563",0
"27129",498
"1187",19
"1188",19
"348487",1
"1969",451
"128272",63
"101927546",0
"79363",22
"54455",1188
"26099",723
"374955",10
"55707",736
"114819",97
"26871",25
"100126512",0
"100126517",0
"102724970",1
"100133301",3
"7195",0
"55672",27491
"84809",79
"11209",137
"26869",25
"729574",17
"100126533",0
"284729",4
"100189045",0
"102723383",17
"6060",25
"11223",107
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",517
"26870",25
"4237",208
"23400",1077
"6390",1929
"11240",68
"29943",2
"51702",0
"100616188",0
"23569",5
"353238",0
"55920",972
"55160",2152
"81569",0
"101927876",0
"84966",129
"127707",2
"5081",0
"80834",0
"8659",123
"100616120",0
"100302276",1
"126917",457
"23352",16358
"23065",1381
"51154",224
"246181",52
"22977",32
"100506730",0
"8574",734
"54896",94
"832",4659
"100532736",0
"440574",199
"644068",37
"4681",14
"3362",4
"255104",205
"54546",0
"23252",115
"30814",0
"5320",13119
"5322",80
"26279",60
"64600",2
"391013",2
"127733",8
"101928017",0
"127731",4
"339505",0
"55450",30
"79594",104
"163933",1
"978",57
"65018",670
"102464833",0
"100861548",17
"1650",2368
"57576",41
"400745",0
"50809",2899
"8672",5215
"100302155",0
"1889",4866
"100506801",19
"84224",1238
"249",190
"5909",8
"84196",2304
"401944",66
"3339",47308
"23436",2
"10136",4
"101928043",1
"29092",0
"998",3743
"54361",102
"100616433",0
"9923",2440
"2046",1
"102466615",0
"712",9877
"714",5297
"713",8097
"2048",333
"100616391",0
"100422914",0
"646262",0
"729059",0
"23028",1335
"100422866",1
"100616177",0
"7798",1044
"3352",1
"100996511",0
"10236",3007
"80818",462
"148898",9
"6920",257
"55616",592
"1870",12
"101928163",0
"3399",562
"259283",4
"6135",11348
"6924",1206
"100506963",0
"57095",433
"11313",264
"2582",190
"3155",517
"2517",1286
"1269",3
"100616492",0
"55629",876
"10772",997
"127294",64
"58985",4
"163702",14
"284632",0
"57822",3
"90529",43
"57185",121
"100750325",0
"11123",93
"100506985",0
"400746",3
"10250",4950
"25932",4440
"864",152
"102465437",0
"100616365",0
"25949",1184
"57035",1111
"6007",78
"23585",798
"6006",40
"55219",533
"26119",470
"57134",458
"57190",2247
"56181",407
"646471",42
"79000",18
"164091",61
"3925",310
"100500808",0
"5051",135
"2134",7
"7780",0
"105376910",0
"84676",2
"149420",97
"79927",3
"105376887",0
"51042",39
"10256",64
"378807",4
"101928303",1
"64793",212
"83442",801
"91544",293
"1043",163
"55057",7
"257101",29
"79727",1
"79947",559
"101928324",3
"3151",3346
"6195",1172
"100302190",0
"101928728",1
"8289",7406
"55650",212
"84243",329
"2810",8
"54707",155
"63906",195
"10726",2184
"8431",0
"126695",3
"388610",0
"115572",267
"6548",600
"23038",814
"84065",126
"644961",45
"100887744",0
"84958",127
"9064",1085
"8547",16
"388611",0
"2827",10
"10163",5034
"27245",620
"2268",894
"2537",157
"199870",275
"23673",1284
"5511",403
"677774",539
"9473",593
"6118",595
"27293",2
"55113",38
"2140",964
"5724",350
"22826",3028
"93974",276
"83667",113
"54797",79
"65979",1351
"1104",219
"8420",32
"6080",30193
"26768",46596
"54952",280
"85028",4
"692212",67
"677838",559
"677825",91
"692073",56
"115273",18
"6883",240
"26824",5
"10691",316
"105376911",0
"51441",839
"4985",0
"2035",1701
"399474",7
"6429",1939
"51102",177
"10076",383
"101928460",0
"101929406",0
"4146",0
"100129196",0
"7805",5759
"100616164",0
"400748",0
"9672",554
"9698",2587
"692234",194
"692235",194
"692200",9
"79570",1
"9410",508
"51538",374
"2170",536
"347735",76
"149086",0
"284551",0
"64129",2319
"3061",26
"553115",233
"1307",1647
"576",23
"100423028",0
"90853",74
"8073",1721
"10657",1321
"55116",90
"100847018",0
"23633",1146
"200081",963
"79140",33
"56063",87
"55721",60
"149069",33
"8668",1058
"339483",3
"84734",0
"3932",404
"3065",1101
"65108",48
"100128071",0
"81629",84
"55108",391
"728116",0
"653121",215
"339487",419
"5928",1937
"81493",343
"57648",54
"8565",1450
"64766",640
"252995",22
"3208",0
"113452",19
"127544",663
"204",6357
"113451",15
"55223",99
"149076",620
"127550",9
"1912",975
"100500853",0
"101929464",0
"7579",100
"114784",113
"127540",1
"402779",1
"84970",3
"693137",0
"2709",2
"127534",6
"2707",15
"2701",338
"113444",290
"58512",13
"653160",6
"100506144",41
"9204",1350
"79830",455
"6421",6152
"9202",3270
"79932",1257
"23154",169
"339488",66
"5690",1065
"127703",65
"63967",311
"192670",1196
"26523",959
"192669",1464
"27285",0
"54936",111
"1296",437
"27095",369
"55700",1540
"9967",3234
"79729",59
"55194",26
"83931",605
"84967",133
"127700",94
"64960",471
"1441",880
"2899",28
"100422898",0
"728431",0
"80149",313
"102465438",0
"64769",436
"100847010",0
"79753",160
"7802",63
"29889",1636
"284654",0
"54955",33
"55143",108
"284656",1
"149175",41
"79693",94
"127687",77
"4520",724
"3633",1219
"10946",1950
"2275",151
"51118",588
"5453",1
"100500801",0
"339442",1
"64121",817
"100527950",7
"26292",0
"81025",0
"54933",55
"79647",552
"4725",1500
"23499",62354
"643314",1883
"105378950",0
"353500",26
"728448",8
"8761",1830
"101929516",2
"677834",82
"26508",596
"84618",1
"51440",0
"10450",428
"656",32
"64064",30
"105378951",0
"101929536",0
"54802",321
"4610",43
"84879",52
"10487",7690
"5538",2670
"6018",1814
"127391",1
"10269",748
"1298",76
"64744",3627
