"","16109.Aligned.sortedByCoord.out.bam"
"100287102",144
"653635",8451
"102466751",2
"100302278",1
"645520",22
"79501",4
"729737",9695
"102725121",114
"102723897",8684
"102465909",4
"729759",285
"100132287",8425
"105378947",0
"101928626",0
"102465432",6
"81399",285
"100133331",8980
"100288069",55
"400728",0
"79854",67
"643837",14
"284593",1
"100130417",0
"148398",13
"26155",882
"339451",106
"84069",22
"84808",10
"57801",77
"9636",41
"375790",920
"105369174",0
"105378948",0
"401934",0
"54991",70
"254099",0
"406984",0
"406983",0
"554210",0
"254173",3
"8784",16
"7293",20
"51150",823
"126792",8
"388581",6
"118424",303
"6339",58
"116983",527
"102465434",0
"126789",47
"54973",716
"102465435",0
"80772",61
"83756",44
"1855",374
"102466740",0
"54587",682
"54998",125
"81669",2481
"148413",43
"55052",323
"441869",2
"643965",0
"102724312",0
"64856",30
"219293",120
"83858",978
"55210",833
"339453",8
"29101",422
"643988",2
"142678",339
"8510",220
"984",3636
"728661",2543
"8511",218
"728642",3545
"9906",2351
"65220",740
"2782",3086
"105378949",0
"163688",3
"339456",0
"85452",2
"2563",37
"5590",67
"100506504",3
"199990",163
"105378592",15
"6497",1579
"105378594",26
"79906",104
"100129534",4
"11079",1158
"5192",71
"9651",142
"55229",459
"388585",1
"115110",2
"8764",641
"100996583",0
"127281",38
"79258",7
"100287898",2
"140625",0
"440556",31
"63976",685
"100422968",0
"27237",9
"1953",1154
"693135",0
"127262",214
"49856",186
"7161",8
"57212",241
"148870",3
"388588",1
"57470",505
"9731",1123
"1677",151
"339448",357
"100133612",0
"728716",0
"284661",0
"55966",15
"100616489",0
"100616421",0
"261734",364
"8514",899
"26038",127
"6146",4611
"102724450",0
"388591",137
"23463",193
"148645",0
"390992",0
"387509",23
"11332",320
"54626",0
"83715",1
"100422975",0
"8718",155
"57449",681
"79707",701
"80835",3
"3104",367
"9903",111
"148479",196
"90326",164
"55735",790
"100505887",0
"23261",616
"9341",579
"8863",2641
"10911",7
"3604",69
"11315",2978
"54206",2789
"102724539",0
"50651",67
"473",3169
"102724552",0
"2023",8805
"102465436",0
"100505975",0
"765",1
"155184",2
"6518",141
"80045",22
"407040",10
"9563",1145
"80176",175
"100506022",0
"84275",151
"199953",31
"5293",1217
"644997",80
"101929074",0
"22883",2561
"56998",42
"84328",310
"64802",92
"100847055",0
"105376719",0
"116362",91
"10277",2805
"23095",7535
"100422970",0
"5226",1306
"100526739",0
"378708",0
"1325",0
"1676",197
"5195",407
"54897",248
"148345",14
"23435",2538
"10747",113
"6723",230
"5394",1831
"2475",3710
"100873935",1
"10218",103
"29914",549
"57540",5
"101929181",0
"26232",17
"93611",95
"26270",94
"10459",169
"374946",1
"57085",175
"284498",0
"102724659",0
"4524",920
"1185",804
"100379251",2
"4878",30
"4879",0
"26829",0
"90231",460
"5351",2637
"9927",2619
"60672",237
"102466982",0
"943",10
"102465836",0
"7133",525
"100616438",0
"55187",13283
"677885",114
"9249",352
"102466722",0
"343066",1
"126767",0
"93190",0
"390999",0
"65121",7
"440560",8
"343069",192
"65122",1
"400735",5
"343071",2
"441871",3
"440561",14
"653606",0
"102724742",2
"101929983",12
"649330",4
"441873",8
"649324",0
"440563",9
"645354",0
"645359",7
"101060301",4
"343070",14
"400736",2
"391003",0
"343068",14
"391002",3
"645382",3
"653619",8
"729528",7
"645414",0
"391004",0
"645425",3
"126755",2
"10630",181
"7799",3478
"23254",113
"200197",1
"55092",149
"727684",220
"114827",284
"101927417",0
"79180",1286
"11330",2
"63036",23
"51032",34
"842",160
"23341",713
"79814",24
"84301",710
"6248",181
"23207",2209
"284723",5
"388595",23
"54751",708
"440567",262
"729614",0
"23013",6447
"7709",370
"101928566",0
"149563",0
"27129",212
"1187",32
"1188",24
"348487",1
"1969",460
"128272",34
"101927546",0
"79363",13
"54455",1168
"26099",561
"374955",13
"55707",787
"114819",201
"26871",14
"100126512",0
"100126517",0
"102724970",5
"100133301",0
"7195",0
"55672",38049
"84809",207
"11209",228
"26869",14
"729574",13
"100126533",0
"284729",1
"100189045",0
"102723383",13
"6060",14
"11223",165
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",619
"26870",14
"4237",259
"23400",863
"6390",1251
"11240",25
"29943",2
"51702",0
"100616188",0
"23569",20
"353238",3
"55920",934
"55160",2124
"81569",0
"101927876",0
"84966",277
"127707",1
"5081",0
"80834",6
"8659",103
"100616120",0
"100302276",1
"126917",309
"23352",18776
"23065",1164
"51154",211
"246181",69
"22977",51
"100506730",1
"8574",687
"54896",131
"832",3365
"100532736",0
"440574",136
"644068",102
"4681",25
"3362",4
"255104",221
"54546",0
"23252",151
"30814",0
"5320",2814
"5322",40
"26279",39
"64600",0
"391013",0
"127733",3
"101928017",0
"127731",3
"339505",0
"55450",31
"79594",134
"163933",0
"978",73
"65018",731
"102464833",0
"100861548",40
"1650",1713
"57576",98
"400745",0
"50809",4025
"8672",3871
"100302155",0
"1889",3718
"100506801",11
"84224",1102
"249",65
"5909",13
"84196",2693
"401944",53
"3339",32108
"23436",2
"10136",2
"101928043",0
"29092",0
"998",2839
"54361",78
"100616433",0
"9923",3358
"2046",1
"102466615",0
"712",4389
"714",2172
"713",3833
"2048",396
"100616391",0
"100422914",1
"646262",0
"729059",0
"23028",1472
"100422866",0
"100616177",0
"7798",1047
"3352",7
"100996511",1
"10236",2562
"80818",547
"148898",20
"6920",366
"55616",693
"1870",6
"101928163",0
"3399",411
"259283",5
"6135",12461
"6924",1298
"100506963",0
"57095",354
"11313",285
"2582",164
"3155",507
"2517",990
"1269",4
"100616492",0
"55629",817
"10772",850
"127294",100
"58985",6
"163702",72
"284632",0
"57822",3
"90529",100
"57185",178
"100750325",0
"11123",71
"100506985",0
"400746",1
"10250",5341
"25932",3010
"864",181
"102465437",0
"100616365",0
"25949",1167
"57035",1757
"6007",1110
"23585",606
"6006",560
"55219",613
"26119",595
"57134",690
"57190",2458
"56181",438
"646471",42
"79000",15
"164091",58
"3925",239
"100500808",0
"5051",128
"2134",1
"7780",0
"105376910",0
"84676",10
"149420",91
"79927",2
"105376887",0
"51042",36
"10256",153
"378807",0
"101928303",0
"64793",280
"83442",717
"91544",420
"1043",127
"55057",7
"257101",22
"79727",0
"79947",704
"101928324",6
"3151",2780
"6195",1283
"100302190",0
"101928728",0
"8289",6117
"55650",204
"84243",353
"2810",5
"54707",152
"63906",185
"10726",2010
"8431",0
"126695",3
"388610",0
"115572",138
"6548",692
"23038",1023
"84065",110
"644961",40
"100887744",0
"84958",248
"9064",1274
"8547",0
"388611",0
"2827",3
"10163",4724
"27245",790
"2268",1124
"2537",121
"199870",272
"23673",1073
"5511",397
"677774",490
"9473",747
"6118",453
"27293",46
"55113",35
"2140",1195
"5724",202
"22826",2293
"93974",321
"83667",99
"54797",64
"65979",1598
"1104",240
"8420",37
"6080",37562
"26768",63044
"54952",325
"85028",11
"692212",48
"677838",555
"677825",149
"692073",77
"115273",12
"6883",203
"26824",4
"10691",295
"105376911",0
"51441",889
"4985",0
"2035",1929
"399474",16
"6429",1848
"51102",181
"10076",412
