"","14914.Aligned.sortedByCoord.out.bam"
"100287102",613
"653635",7613
"102466751",0
"100302278",192
"645520",591
"79501",296
"729737",9902
"102725121",534
"102723897",7657
"102465909",0
"729759",1936
"100132287",8581
"105378947",1
"101928626",0
"102465432",27
"81399",1936
"100133331",8780
"100288069",84
"400728",0
"79854",42
"643837",25
"284593",32
"100130417",0
"148398",49
"26155",700
"339451",75
"84069",37
"84808",40
"57801",58
"9636",15
"375790",779
"105369174",0
"105378948",0
"401934",4
"54991",63
"254099",2
"406984",2
"406983",5
"554210",4
"254173",58
"8784",24
"7293",20
"51150",602
"126792",2
"388581",13
"118424",181
"6339",59
"116983",305
"102465434",0
"126789",23
"54973",363
"102465435",0
"80772",25
"83756",44
"1855",180
"102466740",0
"54587",359
"54998",80
"81669",1334
"148413",35
"55052",257
"441869",6
"643965",1
"102724312",0
"64856",23
"219293",206
"83858",595
"55210",520
"339453",20
"29101",275
"643988",3
"142678",165
"8510",160
"984",2980
"728661",1405
"8511",148
"728642",2610
"9906",1384
"65220",456
"2782",2201
"105378949",1
"163688",14
"339456",17
"85452",74
"2563",19
"5590",96
"100506504",3
"199990",116
"105378592",11
"6497",1068
"105378594",40
"79906",147
"100129534",0
"11079",715
"5192",42
"9651",156
"55229",363
"388585",2
"115110",2
"8764",335
"100996583",0
"127281",42
"79258",42
"100287898",10
"140625",22
"440556",13
"63976",516
"100422968",0
"27237",59
"1953",544
"693135",0
"127262",139
"49856",125
"7161",38
"57212",183
"148870",41
"388588",6
"57470",226
"9731",971
"1677",156
"339448",309
"100133612",0
"728716",0
"284661",0
"55966",27
"100616489",0
"100616421",0
"261734",237
"8514",710
"26038",306
"6146",3223
"102724450",0
"388591",84
"23463",109
"148645",1
"390992",5
"387509",25
"11332",433
"54626",6
"83715",90
"100422975",0
"8718",112
"57449",397
"79707",497
"80835",25
"3104",248
"9903",61
"148479",137
"90326",104
"55735",550
"100505887",0
"23261",491
"9341",430
"8863",2925
"10911",37
"3604",111
"11315",2230
"54206",1483
"102724539",0
"50651",76
"473",1953
"102724552",0
"2023",6912
"102465436",0
"100505975",0
"765",20
"155184",51
"6518",171
"80045",26
"407040",17
"9563",665
"80176",141
"100506022",0
"84275",84
"199953",43
"5293",1098
"644997",80
"101929074",0
"22883",1352
"56998",22
"84328",224
"64802",79
"100847055",0
"105376719",0
"116362",61
"10277",2121
"23095",5085
"100422970",0
"5226",1994
"100526739",0
"378708",0
"1325",1
"1676",116
"5195",465
"54897",295
"148345",35
"23435",2049
"10747",122
"6723",123
"5394",1152
"2475",2659
"100873935",2
"10218",128
"29914",403
"57540",62
"101929181",0
"26232",28
"93611",77
"26270",78
"10459",92
"374946",21
"57085",137
"284498",30
"102724659",0
"4524",637
"1185",575
"100379251",1
"4878",28
"4879",7
"26829",0
"90231",358
"5351",1869
"9927",1743
"60672",120
"102466982",0
"943",68
"102465836",0
"7133",373
"100616438",0
"55187",8334
"677885",66
"9249",239
"102466722",0
"343066",38
"126767",23
"93190",25
"390999",44
"65121",266
"440560",1165
"343069",347
"65122",166
"400735",1228
"343071",264
"441871",224
"440561",1445
"653606",122
"102724742",114
"101929983",1177
"649330",251
"441873",1473
"649324",103
"440563",255
"645354",103
"645359",1453
"101060301",257
"343070",1315
"400736",294
"391003",279
"343068",1476
"391002",235
"645382",227
"653619",1356
"729528",303
"645414",249
"391004",124
"645425",266
"126755",13
"10630",187
"7799",2389
"23254",102
"200197",0
"55092",318
"727684",260
"114827",1184
"101927417",0
"79180",1374
"11330",48
"63036",74
"51032",91
"842",162
"23341",548
"79814",46
"84301",555
"6248",157
"23207",1550
"284723",6
"388595",20
"54751",275
"440567",235
"729614",2
"23013",4627
"7709",240
"101928566",7
"149563",2
"27129",124
"1187",306
"1188",258
"348487",37
"1969",438
"128272",37
"101927546",0
"79363",28
"54455",652
"26099",433
"374955",57
"55707",673
"114819",136
"26871",6
"100126512",0
"100126517",0
"102724970",127
"100133301",23
"7195",0
"55672",29747
"84809",109
"11209",436
"26869",6
"729574",125
"100126533",0
"284729",75
"100189045",0
"102723383",125
"6060",6
"11223",385
"100500876",0
"100189298",0
