"","16082.Aligned.sortedByCoord.out.bam"
"100287102",189
"653635",9677
"102466751",5
"100302278",2
"645520",41
"79501",16
"729737",15378
"102725121",178
"102723897",9665
"102465909",5
"729759",580
"100132287",11675
"105378947",2
"101928626",0
"102465432",14
"81399",580
"100133331",12345
"100288069",36
"400728",0
"79854",39
"643837",17
"284593",3
"100130417",0
"148398",14
"26155",985
"339451",79
"84069",24
"84808",10
"57801",48
"9636",18
"375790",856
"105369174",0
"105378948",0
"401934",0
"54991",53
"254099",0
"406984",0
"406983",0
"554210",0
"254173",5
"8784",34
"7293",41
"51150",822
"126792",2
"388581",2
"118424",186
"6339",37
"116983",372
"102465434",0
"126789",50
"54973",500
"102465435",0
"80772",49
"83756",19
"1855",278
"102466740",1
"54587",750
"54998",114
"81669",1772
"148413",45
"55052",323
"441869",4
"643965",0
"102724312",0
"64856",19
"219293",123
"83858",886
"55210",792
"339453",1
"29101",393
"643988",3
"142678",238
"8510",118
"984",3145
"728661",1635
"8511",113
"728642",2983
"9906",1530
"65220",621
"2782",3543
"105378949",0
"163688",2
"339456",1
"85452",5
"2563",11
"5590",110
"100506504",3
"199990",142
"105378592",6
"6497",1342
"105378594",15
"79906",97
"100129534",4
"11079",1210
"5192",78
"9651",154
"55229",387
"388585",0
"115110",1
"8764",811
"100996583",0
"127281",48
"79258",1
"100287898",1
"140625",0
"440556",17
"63976",415
"100422968",0
"27237",15
"1953",634
"693135",0
"127262",195
"49856",174
"7161",5
"57212",126
"148870",0
"388588",1
"57470",374
"9731",914
"1677",111
"339448",376
"100133612",0
"728716",0
"284661",0
"55966",10
"100616489",0
"100616421",0
"261734",212
"8514",1368
"26038",11
"6146",4044
"102724450",0
"388591",122
"23463",125
"148645",0
"390992",0
"387509",26
"11332",674
"54626",0
"83715",7
"100422975",0
"8718",226
"57449",306
"79707",532
"80835",5
"3104",327
"9903",102
"148479",136
"90326",74
"55735",755
"100505887",0
"23261",436
"9341",485
"8863",1223
"10911",9
"3604",139
"11315",2894
"54206",1670
