"","14922.Aligned.sortedByCoord.out.bam"
"100287102",79
"653635",6284
"102466751",0
"100302278",4
"645520",29
"79501",6
"729737",7057
"102725121",70
"102723897",6354
"102465909",0
"729759",464
"100132287",6380
"105378947",1
"101928626",0
"102465432",16
"81399",464
"100133331",6869
"100288069",53
"400728",0
"79854",40
"643837",9
"284593",0
"100130417",0
"148398",8
"26155",667
"339451",52
"84069",17
"84808",6
"57801",37
"9636",22
"375790",375
"105369174",0
"105378948",0
"401934",0
"54991",12
"254099",0
"406984",0
"406983",0
"554210",0
"254173",2
"8784",5
"7293",10
"51150",583
"126792",2
"388581",0
"118424",142
"6339",31
"116983",217
"102465434",0
"126789",44
"54973",249
"102465435",1
"80772",11
"83756",6
"1855",125
"102466740",0
"54587",379
"54998",56
"81669",1489
"148413",26
"55052",194
"441869",2
"643965",0
"102724312",0
"64856",19
"219293",121
"83858",527
"55210",490
"339453",7
"29101",230
"643988",1
"142678",170
"8510",104
"984",2304
"728661",915
"8511",105
"728642",2301
"9906",898
"65220",367
"2782",1891
"105378949",0
"163688",1
"339456",0
"85452",6
"2563",8
"5590",35
"100506504",0
"199990",91
"105378592",3
"6497",902
"105378594",10
"79906",82
"100129534",3
"11079",833
"5192",29
"9651",71
"55229",269
"388585",0
"115110",0
"8764",253
"100996583",0
"127281",19
"79258",2
"100287898",0
"140625",1
"440556",8
"63976",402
"100422968",0
"27237",4
"1953",291
"693135",0
"127262",175
"49856",68
"7161",4
"57212",107
"148870",2
"388588",0
"57470",264
"9731",850
"1677",85
"339448",196
"100133612",0
"728716",0
"284661",0
"55966",3
"100616489",0
"100616421",0
"261734",160
"8514",555
"26038",126
"6146",3568
"102724450",0
"388591",37
"23463",122
"148645",0
"390992",0
"387509",15
"11332",167
"54626",0
"83715",6
"100422975",0
"8718",55
"57449",355
"79707",389
"80835",0
"3104",158
"9903",36
"148479",168
"90326",61
"55735",513
"100505887",0
"23261",407
"9341",410
"8863",419
"10911",0
"3604",17
"11315",2328
"54206",2797
"102724539",0
"50651",28
"473",2033
"102724552",0
"2023",6959
"102465436",0
"100505975",0
"765",2
"155184",0
"6518",23
"80045",24
"407040",4
"9563",624
"80176",112
"100506022",0
"84275",62
"199953",29
"5293",849
"644997",50
"101929074",0
"22883",1693
"56998",28
"84328",227
"64802",89
"100847055",0
"105376719",0
"116362",162
"10277",1662
"23095",5228
"100422970",0
"5226",902
"100526739",0
"378708",0
"1325",0
"1676",101
"5195",292
"54897",204
"148345",14
"23435",1815
"10747",52
"6723",129
"5394",1236
"2475",1991
"100873935",0
"10218",95
"29914",341
"57540",5
"101929181",0
"26232",1
"93611",47
"26270",57
"10459",110
"374946",0
"57085",82
"284498",2
"102724659",0
"4524",567
"1185",436
"100379251",2
"4878",26
"4879",0
"26829",0
"90231",247
"5351",2256
"9927",1588
"60672",114
"102466982",0
"943",7
"102465836",0
"7133",585
"100616438",0
"55187",8298
"677885",90
"9249",232
"102466722",0
"343066",0
"126767",0
"93190",0
"390999",0
"65121",11
"440560",12
"343069",158
"65122",10
