"","12388.Aligned.sortedByCoord.out.bam"
"100287102",295
"653635",3211
"102466751",1
"100302278",55
"645520",243
"79501",130
"729737",5392
"102725121",264
"102723897",3335
"102465909",3
"729759",728
"100132287",4616
"105378947",0
"101928626",0
"102465432",11
"81399",728
"100133331",4623
"100288069",44
"400728",0
"79854",35
"643837",15
"284593",7
"100130417",0
"148398",18
"26155",625
"339451",64
"84069",24
"84808",32
"57801",22
"9636",17
"375790",542
"105369174",0
"105378948",0
"401934",2
"54991",41
"254099",1
"406984",2
"406983",5
"554210",2
"254173",17
"8784",11
"7293",10
"51150",495
"126792",0
"388581",7
"118424",109
"6339",30
"116983",300
"102465434",0
"126789",40
"54973",377
"102465435",0
"80772",26
"83756",13
"1855",195
"102466740",1
"54587",259
"54998",46
"81669",1246
"148413",23
"55052",204
"441869",7
"643965",0
"102724312",0
"64856",31
"219293",110
"83858",523
"55210",463
"339453",8
"29101",269
"643988",3
"142678",135
"8510",87
"984",2048
"728661",1247
"8511",85
"728642",1981
"9906",1238
"65220",429
"2782",1562
"105378949",0
"163688",7
"339456",7
"85452",48
"2563",18
"5590",41
"100506504",1
"199990",73
"105378592",4
"6497",582
"105378594",18
"79906",79
"100129534",1
"11079",468
"5192",46
"9651",87
"55229",241
"388585",1
"115110",1
"8764",309
"100996583",1
"127281",30
"79258",18
"100287898",3
"140625",8
"440556",10
"63976",209
"100422968",0
"27237",25
"1953",431
"693135",2
"127262",67
"49856",101
"7161",20
"57212",157
"148870",17
"388588",3
"57470",194
"9731",648
"1677",74
"339448",232
"100133612",0
"728716",0
"284661",0
"55966",14
"100616489",0
"100616421",0
"261734",217
"8514",506
"26038",109
"6146",2961
"102724450",0
"388591",85
"23463",103
"148645",0
"390992",4
"387509",13
"11332",430
"54626",1
"83715",43
"100422975",0
"8718",132
"57449",525
"79707",322
"80835",11
"3104",187
"9903",56
"148479",81
"90326",60
"55735",577
"100505887",0
"23261",278
"9341",257
"8863",961
"10911",14
"3604",40
"11315",1483
"54206",1559
"102724539",0
"50651",52
"473",1829
"102724552",0
"2023",7658
"102465436",0
"100505975",0
"765",9
"155184",28
"6518",164
"80045",17
"407040",1
"9563",562
"80176",80
"100506022",0
"84275",63
"199953",30
"5293",581
"644997",53
"101929074",0
"22883",1270
"56998",24
"84328",154
"64802",59
"100847055",0
"105376719",0
"116362",92
"10277",1347
"23095",3593
"100422970",0
"5226",1381
"100526739",0
"378708",0
"1325",1
"1676",112
"5195",304
"54897",151
"148345",15
"23435",1254
"10747",65
"6723",168
"5394",1048
"2475",2052
"100873935",0
"10218",75
"29914",235
"57540",24
"101929181",0
"26232",15
"93611",46
"26270",63
"10459",64
"374946",10
"57085",114
"284498",10
"102724659",0
"4524",463
"1185",368
"100379251",1
"4878",16
"4879",8
"26829",1
"90231",209
"5351",1739
"9927",1168
"60672",118
"102466982",0
"943",13
"102465836",0
"7133",256
"100616438",0
"55187",6146
"677885",46
"9249",171
"102466722",0
"343066",20
"126767",9
"93190",5
"390999",6
"65121",104
"440560",388
"343069",193
"65122",79
"400735",409
"343071",74
"441871",63
"440561",478
"653606",38
"102724742",76
"101929983",416
"649330",58
"441873",487
"649324",41
"440563",82
"645354",41
"645359",474
"101060301",56
"343070",439
"400736",117
"391003",73
"343068",473
"391002",74
"645382",76
"653619",407
"729528",102
"645414",74
"391004",48
"645425",76
"126755",3
"10630",149
"7799",1482
"23254",70
"200197",0
"55092",61
"727684",134
