"","14929.Aligned.sortedByCoord.out.bam"
"100287102",375
"653635",10664
"102466751",1
"100302278",6
"645520",685
"79501",237
"729737",13214
"102725121",351
"102723897",11325
"102465909",1
"729759",1078
"100132287",9908
"105378947",6
"101928626",0
"102465432",15
"81399",1078
"100133331",10406
"100288069",80
"400728",0
"79854",137
"643837",33
"284593",3
"100130417",0
"148398",24
"26155",1238
"339451",56
"84069",14
"84808",23
"57801",244
"9636",43
"375790",714
"105369174",0
"105378948",1
"401934",0
"54991",64
"254099",0
"406984",0
"406983",0
"554210",0
"254173",18
"8784",5
"7293",11
"51150",737
"126792",3
"388581",4
"118424",210
"6339",33
"116983",379
"102465434",0
"126789",23
"54973",839
"102465435",1
"80772",22
"83756",12
"1855",323
"102466740",0
"54587",346
"54998",116
"81669",2182
"148413",17
"55052",430
"441869",2
"643965",1
"102724312",0
"64856",26
"219293",152
"83858",1004
"55210",893
"339453",8
"29101",409
"643988",4
"142678",194
"8510",62
"984",5312
"728661",1539
"8511",59
"728642",5092
"9906",1514
"65220",773
"2782",3273
"105378949",1
"163688",4
"339456",1
"85452",12
"2563",5
"5590",38
"100506504",4
"199990",131
"105378592",6
"6497",1579
"105378594",89
"79906",110
"100129534",0
"11079",783
"5192",75
"9651",118
"55229",415
"388585",2
"115110",0
"8764",365
"100996583",0
"127281",18
"79258",14
"100287898",4
"140625",1
"440556",29
"63976",1282
"100422968",0
"27237",9
"1953",604
"693135",0
"127262",238
"49856",130
"7161",8
"57212",314
"148870",41
"388588",2
"57470",446
"9731",1601
"1677",101
"339448",377
"100133612",3
"728716",0
"284661",0
"55966",4
"100616489",0
"100616421",0
"261734",261
"8514",384
"26038",1330
"6146",4809
"102724450",0
"388591",85
"23463",186
"148645",0
"390992",3
"387509",10
"11332",288
"54626",0
"83715",24
"100422975",0
"8718",86
"57449",326
"79707",703
"80835",9
"3104",288
"9903",100
"148479",118
"90326",103
"55735",971
"100505887",0
"23261",777
"9341",622
"8863",4508
"10911",25
"3604",27
"11315",3373
"54206",2959
"102724539",0
"50651",98
"473",4492
"102724552",2
"2023",8593
"102465436",0
"100505975",0
"765",3
"155184",7
"6518",115
"80045",19
"407040",10
"9563",948
"80176",109
"100506022",0
"84275",134
"199953",21
"5293",977
"644997",55
"101929074",0
"22883",2699
"56998",47
"84328",343
"64802",71
"100847055",0
"105376719",0
"116362",106
"10277",2689
"23095",6568
"100422970",0
"5226",1108
"100526739",0
"378708",3
"1325",0
"1676",195
"5195",658
"54897",630
"148345",13
"23435",3173
"10747",120
"6723",158
"5394",2015
"2475",3689
"100873935",0
"10218",88
"29914",631
"57540",8
"101929181",1
"26232",11
"93611",75
"26270",112
"10459",150
"374946",9
"57085",108
"284498",1
"102724659",0
"4524",957
"1185",572
"100379251",4
"4878",18
"4879",3
"26829",0
"90231",463
"5351",1796
"9927",2720
"60672",136
"102466982",0
"943",19
"102465836",0
"7133",300
"100616438",0
"55187",15824
"677885",61
"9249",296
"102466722",0
"343066",3
"126767",7
"93190",0
"390999",8
"65121",86
"440560",340
"343069",433
"65122",119
"400735",510
"343071",99
"441871",52
"440561",535
"653606",23
"102724742",44
"101929983",331
"649330",82
"441873",549
"649324",61
"440563",104
"645354",61
"645359",482
"101060301",78
"343070",433
"400736",66
"391003",93
"343068",531
"391002",43
"645382",84
"653619",563
"729528",156
"645414",103
"391004",41
"645425",100
"126755",0
"10630",56
"7799",3617
"23254",70
"200197",0
"55092",138
"727684",178
"114827",276
"101927417",0
"79180",916
"11330",5
"63036",45
"51032",70
