"","14927.Aligned.sortedByCoord.out.bam"
"100287102",118
"653635",4091
"102466751",0
"100302278",0
"645520",26
"79501",4
"729737",2980
"102725121",95
"102723897",4205
"102465909",0
"729759",43
"100132287",2949
"105378947",3
"101928626",0
"102465432",10
"81399",43
"100133331",3374
"100288069",27
"400728",1
"79854",48
"643837",8
"284593",0
"100130417",0
"148398",17
"26155",529
"339451",40
"84069",5
"84808",5
"57801",49
"9636",7
"375790",392
"105369174",0
"105378948",0
"401934",0
"54991",25
"254099",0
"406984",0
"406983",0
"554210",0
"254173",1
"8784",9
"7293",11
"51150",418
"126792",1
"388581",2
"118424",114
"6339",31
"116983",241
"102465434",0
"126789",24
"54973",265
"102465435",0
"80772",23
"83756",13
"1855",112
"102466740",0
"54587",553
"54998",32
"81669",1238
"148413",22
"55052",157
"441869",2
"643965",0
"102724312",0
"64856",15
"219293",58
"83858",381
"55210",357
"339453",3
"29101",188
"643988",1
"142678",156
"8510",63
"984",2465
"728661",1150
"8511",65
"728642",2298
"9906",1080
"65220",269
"2782",1259
"105378949",0
"163688",2
"339456",1
"85452",8
"2563",25
"5590",56
"100506504",2
"199990",81
"105378592",2
"6497",754
"105378594",5
"79906",87
"100129534",0
"11079",509
"5192",33
"9651",107
"55229",242
"388585",0
"115110",3
"8764",231
"100996583",0
"127281",20
"79258",2
"100287898",2
"140625",0
"440556",22
"63976",435
"100422968",0
"27237",0
"1953",422
"693135",0
"127262",129
"49856",64
"7161",0
"57212",109
"148870",1
"388588",1
"57470",237
"9731",588
"1677",57
"339448",153
"100133612",0
"728716",0
"284661",0
"55966",13
"100616489",0
"100616421",0
"261734",94
"8514",292
"26038",27
"6146",3250
"102724450",0
"388591",45
"23463",78
"148645",0
"390992",0
"387509",6
"11332",90
"54626",0
"83715",4
"100422975",0
"8718",83
"57449",400
"79707",426
"80835",1
"3104",138
"9903",58
"148479",90
"90326",42
"55735",313
"100505887",0
"23261",303
"9341",334
"8863",1685
"10911",13
"3604",46
"11315",1693
"54206",627
"102724539",0
"50651",33
"473",1871
"102724552",0
"2023",2878
"102465436",0
"100505975",0
"765",5
"155184",0
"6518",35
"80045",9
"407040",2
"9563",475
"80176",61
"100506022",0
"84275",47
"199953",16
"5293",618
"644997",75
"101929074",0
"22883",1543
"56998",13
"84328",213
"64802",49
"100847055",0
"105376719",0
"116362",133
"10277",1499
"23095",3361
"100422970",0
"5226",460
"100526739",0
"378708",0
"1325",0
"1676",102
"5195",269
"54897",143
"148345",4
"23435",1579
"10747",99
"6723",88
"5394",1008
"2475",1672
"100873935",0
"10218",55
"29914",349
"57540",2
"101929181",0
"26232",5
"93611",42
"26270",52
"10459",79
"374946",0
"57085",55
"284498",1
"102724659",0
"4524",490
"1185",399
"100379251",2
"4878",10
"4879",0
"26829",0
"90231",196
"5351",895
"9927",1231
"60672",73
"102466982",0
"943",2
"102465836",0
"7133",191
"100616438",0
"55187",6976
"677885",57
"9249",153
"102466722",0
"343066",0
"126767",0
"93190",0
"390999",0
"65121",1
"440560",16
"343069",126
"65122",1
"400735",2
"343071",5
"441871",0
"440561",7
"653606",3
"102724742",0
"101929983",2
"649330",3
"441873",9
"649324",1
"440563",4
"645354",1
"645359",9
"101060301",3
"343070",2
"400736",1
"391003",3
"343068",7
"391002",0
"645382",5
"653619",12
"729528",1
"645414",3
"391004",4
"645425",0
"126755",0
"10630",40
"7799",1636
"23254",55
"200197",0
"55092",39
"727684",51
"114827",68
"101927417",0
"79180",670
"11330",3
"63036",6
"51032",19
"842",83
"23341",347
"79814",5
"84301",337
"6248",91
"23207",856
"284723",6
"388595",2
"54751",296
"440567",157
"729614",0
"23013",3549
"7709",179
"101928566",0
"149563",0
"27129",65
"1187",16
"1188",15
"348487",0
"1969",384
"128272",24
"101927546",0
"79363",4
"54455",530
"26099",292
"374955",10
"55707",284
"114819",146
"26871",8
"100126512",0
"100126517",0
