"","12849.Aligned.sortedByCoord.out.bam"
"100287102",266
"653635",10187
"102466751",0
"100302278",34
"645520",221
"79501",108
"729737",14301
"102725121",239
"102723897",9569
"102465909",0
"729759",899
"100132287",16329
"105378947",6
"101928626",0
"102465432",12
"81399",899
"100133331",17683
"100288069",64
"400728",0
"79854",77
"643837",33
"284593",4
"100130417",0
"148398",57
"26155",1182
"339451",96
"84069",21
"84808",71
"57801",178
"9636",19
"375790",960
"105369174",0
"105378948",0
"401934",0
"54991",57
"254099",1
"406984",0
"406983",1
"554210",0
"254173",35
"8784",11
"7293",13
"51150",945
"126792",7
"388581",10
"118424",298
"6339",86
"116983",454
"102465434",0
"126789",40
"54973",902
"102465435",0
"80772",44
"83756",33
"1855",395
"102466740",0
"54587",971
"54998",93
"81669",3207
"148413",79
"55052",418
"441869",1
"643965",0
"102724312",0
"64856",37
"219293",74
"83858",625
"55210",714
"339453",14
"29101",522
"643988",3
"142678",360
"8510",208
"984",4257
"728661",2837
"8511",205
"728642",4211
"9906",2797
"65220",655
"2782",3636
"105378949",0
"163688",3
"339456",8
"85452",23
"2563",18
"5590",110
"100506504",2
"199990",156
"105378592",16
"6497",2148
"105378594",23
"79906",240
"100129534",2
"11079",1455
"5192",68
"9651",132
"55229",513
"388585",3
"115110",4
"8764",461
"100996583",1
"127281",20
"79258",25
"100287898",6
"140625",2
"440556",37
"63976",1578
"100422968",0
"27237",22
"1953",1403
"693135",0
"127262",350
"49856",209
"7161",7
"57212",387
"148870",40
"388588",5
"57470",603
"9731",1789
"1677",206
"339448",443
"100133612",0
"728716",0
"284661",0
"55966",20
"100616489",0
"100616421",0
"261734",346
"8514",620
"26038",409
"6146",7151
"102724450",0
"388591",128
"23463",286
"148645",0
"390992",1
"387509",24
"11332",179
"54626",2
"83715",30
"100422975",0
"8718",166
"57449",872
"79707",906
"80835",19
"3104",435
"9903",142
"148479",215
"90326",168
"55735",936
"100505887",0
"23261",984
"9341",930
"8863",8486
"10911",11
"3604",23
"11315",4124
"54206",3734
"102724539",0
"50651",110
"473",4617
"102724552",0
"2023",6742
"102465436",0
"100505975",0
"765",3
"155184",19
"6518",49
"80045",21
"407040",20
"9563",1680
"80176",221
"100506022",2
"84275",152
"199953",50
"5293",1173
"644997",103
"101929074",1
"22883",3623
"56998",35
"84328",442
"64802",128
"100847055",0
"105376719",0
"116362",187
"10277",4701
"23095",9447
"100422970",0
"5226",948
"100526739",0
"378708",0
"1325",0
"1676",251
"5195",587
"54897",591
"148345",25
"23435",4496
"10747",234
"6723",229
"5394",2823
"2475",4396
"100873935",0
"10218",327
"29914",835
"57540",15
"101929181",0
"26232",12
"93611",123
"26270",95
"10459",143
"374946",7
"57085",140
"284498",9
"102724659",0
"4524",959
"1185",966
"100379251",5
"4878",27
"4879",1
"26829",0
"90231",546
"5351",2793
"9927",3400
"60672",162
"102466982",0
"943",16
"102465836",0
"7133",471
"100616438",0
"55187",22159
"677885",152
"9249",952
"102466722",0
"343066",5
"126767",10
"93190",5
"390999",11
"65121",51
"440560",321
"343069",218
"65122",35
"400735",309
"343071",47
"441871",61
"440561",322
"653606",24
"102724742",29
"101929983",267
"649330",51
"441873",391
"649324",28
"440563",49
"645354",28
"645359",383
"101060301",50
"343070",281
"400736",49
"391003",73
"343068",351
"391002",60
"645382",51
"653619",357
"729528",60
"645414",77
"391004",42
"645425",96
"126755",4
"10630",135
"7799",5166
"23254",206
"200197",1
"55092",200
"727684",231
"114827",126
"101927417",0
"79180",820
"11330",13
"63036",21
"51032",47
"842",274
"23341",968
"79814",26
"84301",857
"6248",212
"23207",2267
"284723",14
"388595",35
"54751",933
"440567",279
"729614",0
"23013",10509
"7709",323
"101928566",2
"149563",1
"27129",370
"1187",70
"1188",78
"348487",15
"1969",631
"128272",41
"101927546",0
"79363",28
"54455",1768
"26099",580
"374955",16
"55707",665
"114819",325
"26871",5
"100126512",0
"100126517",0
"102724970",49
"100133301",10
"7195",0
"55672",70340
"84809",308
"11209",309
"26869",5
"729574",67
"100126533",0
"284729",19
"100189045",0
"102723383",67
"6060",5
"11223",263
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",948
"26870",4
"4237",394
"23400",993
"6390",1778
"11240",61
"29943",21
"51702",6
"100616188",0
