"","12330.Aligned.sortedByCoord.out.bam"
"100287102",661
"653635",12123
"102466751",1
"100302278",9
"645520",84
"79501",2
"729737",17615
"102725121",599
"102723897",12058
"102465909",1
"729759",1101
"100132287",19108
"105378947",3
"101928626",0
"102465432",63
"81399",1101
"100133331",20286
"100288069",81
"400728",2
"79854",101
"643837",33
"284593",2
"100130417",0
"148398",8
"26155",830
"339451",114
"84069",19
"84808",191
"57801",79
"9636",12
"375790",686
"105369174",0
"105378948",0
"401934",0
"54991",76
"254099",0
"406984",0
"406983",0
"554210",0
"254173",1
"8784",5
"7293",5
"51150",648
"126792",3
"388581",5
"118424",214
"6339",64
"116983",522
"102465434",0
"126789",39
"54973",693
"102465435",0
"80772",42
"83756",24
"1855",390
"102466740",0
"54587",746
"54998",87
"81669",3211
"148413",50
"55052",293
"441869",0
"643965",0
"102724312",0
"64856",11
"219293",112
"83858",716
"55210",570
"339453",13
"29101",382
"643988",3
"142678",315
"8510",189
"984",3382
"728661",2582
"8511",185
"728642",3268
"9906",2550
"65220",570
"2782",2293
"105378949",0
"163688",22
"339456",70
"85452",6
"2563",21
"5590",61
"100506504",6
"199990",136
"105378592",5
"6497",1063
"105378594",25
"79906",152
"100129534",1
"11079",1212
"5192",75
"9651",111
"55229",481
"388585",0
"115110",1
"8764",635
"100996583",0
"127281",27
"79258",0
"100287898",4
"140625",0
"440556",29
"63976",635
"100422968",0
"27237",10
"1953",758
"693135",0
"127262",185
"49856",222
"7161",8
"57212",288
"148870",1
"388588",4
"57470",434
"9731",1331
"1677",137
"339448",472
"100133612",0
"728716",0
"284661",0
"55966",12
"100616489",0
"100616421",0
"261734",337
"8514",720
"26038",52
"6146",3559
"102724450",0
"388591",126
"23463",252
"148645",0
"390992",0
"387509",24
"11332",141
"54626",1
"83715",9
"100422975",0
"8718",210
"57449",694
"79707",853
"80835",8
"3104",377
"9903",108
"148479",183
"90326",91
"55735",785
"100505887",0
"23261",579
"9341",536
"8863",3350
"10911",9
"3604",36
"11315",2605
"54206",2969
"102724539",0
"50651",86
"473",2836
"102724552",0
"2023",4878
"102465436",0
"100505975",0
"765",3
"155184",0
"6518",107
"80045",20
"407040",19
"9563",832
"80176",202
"100506022",0
"84275",151
"199953",65
"5293",935
"644997",92
"101929074",0
"22883",2094
"56998",29
"84328",292
"64802",98
"100847055",0
"105376719",0
"116362",163
"10277",3841
"23095",11039
"100422970",0
"5226",785
"100526739",0
"378708",0
"1325",1
"1676",134
"5195",346
"54897",410
"148345",11
"23435",3236
"10747",259
"6723",168
"5394",1858
"2475",4022
"100873935",2
"10218",125
"29914",633
"57540",2
"101929181",0
"26232",3
"93611",72
"26270",73
"10459",116
"374946",1
"57085",158
"284498",0
"102724659",0
"4524",1040
"1185",848
"100379251",4
"4878",47
"4879",2
"26829",4
"90231",397
"5351",3100
"9927",2564
"60672",169
"102466982",0
"943",9
"102465836",0
"7133",387
"100616438",0
"55187",15691
"677885",145
"9249",358
"102466722",0
"343066",1
"126767",0
"93190",0
"390999",0
"65121",3
"440560",1
"343069",105
"65122",5
"400735",8
"343071",0
"441871",1
"440561",9
"653606",0
"102724742",0
"101929983",8
"649330",2
"441873",9
"649324",3
"440563",7
"645354",3
"645359",9
"101060301",2
"343070",8
"400736",2
"391003",0
"343068",9
"391002",1
"645382",2
"653619",8
"729528",4
"645414",0
"391004",1
"645425",6
"126755",12
"10630",198
"7799",3408
"23254",155
"200197",1
"55092",128
"727684",230
"114827",206
"101927417",0
"79180",714
"11330",8
"63036",16
"51032",35
"842",168
"23341",898
"79814",37
"84301",730
"6248",181
"23207",2178
"284723",11
"388595",23
"54751",591
"440567",145
"729614",0
"23013",6427
"7709",288
"101928566",0
"149563",1
"27129",700
"1187",70
"1188",26
"348487",3
"1969",454
"128272",36
"101927546",0
"79363",14
"54455",1419
"26099",431
"374955",13
"55707",538
"114819",130
"26871",26
"100126512",0
"100126517",0
"102724970",6
"100133301",0
"7195",0
"55672",47423
"84809",115
"11209",305
"26869",26
"729574",10
"100126533",0
"284729",2
"100189045",0
"102723383",10
"6060",26
"11223",207
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",537
"26870",26
"4237",369
"23400",998
"6390",1544
"11240",659
"29943",0
"51702",11
"100616188",0
"23569",3
"353238",0
"55920",756
"55160",2302
"81569",0
"101927876",0
"84966",124
"127707",0
"5081",12
"80834",1
"8659",151
"100616120",0
"100302276",0
"126917",269
"23352",21647
"23065",1239
"51154",154
"246181",102
"22977",93
"100506730",1
"8574",942
"54896",119
"832",2725
"100532736",0
"440574",112
"644068",124
"4681",37
"3362",0
"255104",239
"54546",0
"23252",182
"30814",0
"5320",324
"5322",74
"26279",12
"64600",0
"391013",4
"127733",11
"101928017",0
"127731",6
"339505",0
"55450",19
"79594",98
"163933",2
"978",45
"65018",950
"102464833",0
"100861548",41
"1650",1601
"57576",95
"400745",0
"50809",3429
"8672",3913
"100302155",0
"1889",3820
"100506801",30
"84224",2150
"249",51
"5909",12
"84196",2877
"401944",55
"3339",40045
"23436",3
"10136",8
"101928043",0
"29092",0
"998",2223
"54361",45
"100616433",0
"9923",3385
"2046",0
"102466615",0
"712",3803
"714",2281
"713",4208
"2048",278
"100616391",0
"100422914",0
"646262",0
"729059",1
"23028",1677
"100422866",0
"100616177",0
"7798",872
"3352",0
"100996511",5
"10236",2240
"80818",364
"148898",39
"6920",699
"55616",684
"1870",3
"101928163",0
"3399",213
"259283",20
"6135",10774
"6924",967
"100506963",0
"57095",352
"11313",246
"2582",139
"3155",584
"2517",710
"1269",1
"100616492",0
"55629",712
"10772",1086
"127294",1410
"58985",16
"163702",28
"284632",0
"57822",4
"90529",58
"57185",247
"100750325",0
"11123",72
"100506985",1
"400746",6
"10250",5484
"25932",2064
"864",102
"102465437",0
"100616365",0
"25949",778
"57035",2246
"6007",967
"23585",523
"6006",483
"55219",621
"26119",559
"57134",433
"57190",2034
"56181",518
"646471",61
"79000",16
"164091",82
"3925",132
"100500808",0
"5051",163
"2134",41
"7780",5
"105376910",0
"84676",99
"149420",59
"79927",1
"105376887",0
"51042",22
"10256",485
"378807",5
"101928303",0
"64793",455
"83442",436
"91544",379
"1043",71
"55057",8
"257101",11
"79727",2
"79947",858
"101928324",2
"3151",2234
"6195",656
"100302190",0
"101928728",0
"8289",6649
"55650",293
"84243",316
"2810",2
"54707",121
"63906",227
"10726",1678
"8431",1
"126695",2
"388610",0
"115572",111
"6548",757
"23038",885
"84065",130
"644961",76
"100887744",0
"84958",118
"9064",1150
"8547",19
"388611",0
"2827",0
"10163",4007
"27245",677
"2268",787
"2537",48
"199870",273
"23673",768
"5511",319
"677774",597
"9473",340
"6118",349
"27293",11
"55113",39
"2140",1399
"5724",234
"22826",1433
"93974",437
"83667",107
"54797",44
"65979",1540
"1104",157
"8420",39
"6080",58058
"26768",84895
"54952",321
"85028",13
"692212",41
"677838",467
"677825",134
"692073",65
"115273",12
"6883",167
"26824",6
"10691",315
"105376911",0
"51441",788
"4985",0
"2035",1639
"399474",7
"6429",1783
"51102",210
"10076",424
"101928460",0
"101929406",0
"4146",1
"100129196",0
"7805",3922
"100616164",0
"400748",0
"9672",304
"9698",2805
"692234",167
"692235",167
"692200",12
"79570",1
"9410",423
"51538",349
"2170",871
"347735",182
"149086",0
"284551",0
"64129",1455
"3061",41
"553115",212
"1307",3608
"576",45
"100423028",0
"90853",88
"8073",1245
"10657",1106
"55116",196
"100847018",0
"23633",982
"200081",684
"79140",65
"56063",134
"55721",117
"149069",74
"8668",862
"339483",0
"84734",1
"3932",240
"3065",1015
"65108",9
"100128071",0
"81629",223
"55108",464
"728116",0
"653121",208
"339487",425
"5928",1788
"81493",303
"57648",86
"8565",970
"64766",954
"252995",53
"3208",1
"113452",22
"127544",464
"204",8490
"113451",78
"55223",105
"149076",754
"127550",10
"1912",694
"100500853",0
"101929464",0
"7579",102
"114784",206
"127540",0
"402779",0
"84970",0
"693137",0
"2709",14
"127534",9
"2707",41
"2701",201
"113444",199
"58512",6
"653160",26
"100506144",32
"9204",1770
"79830",741
"6421",5429
"9202",3963
"79932",1423
"23154",190
"339488",73
"5690",782
"127703",40
"63967",164
"192670",1580
"26523",1066
"192669",2179
"27285",17
"54936",39
"1296",186
"27095",257
"55700",961
"9967",2900
"79729",261
"55194",58
"83931",390
"84967",107
"127700",150
"64960",331
"1441",435
"2899",33
"100422898",0
"728431",0
"80149",219
"102465438",0
"64769",541
"100847010",0
"79753",114
"7802",83
"29889",996
"284654",2
"54955",50
"55143",41
"284656",2
"149175",37
"79693",50
"127687",33
"4520",702
"3633",1558
"10946",2454
"2275",494
"51118",615
"5453",3
"100500801",0
"339442",0
"64121",672
"100527950",111
"26292",0
"81025",0
"54933",121
"79647",508
"4725",909
"23499",64891
"643314",2034
"105378950",0
"353500",28
"728448",25
"8761",2242
"101929516",0
"677834",70
"26508",616
"84618",53
"51440",11
"10450",389
"656",24
"64064",15
"105378951",0
"101929536",0
"54802",346
"4610",9
"84879",30
"10487",3863
"5538",1857
"6018",2085
"127391",1
"10269",766
"1298",123
"64744",2536
"65243",113
"339559",380
"64789",190
"127396",121
"9783",54
"100130557",1
"4802",1036
"407034",33
"407031",0
"9132",117
"163732",0
"1503",1471
"100507178",4
"200172",26
"22955",1423
"100132074",5
"1907",0
"59269",373
"2981",0
"2980",0
"22887",1327
"284716",1
"84217",17
"79717",432
"728621",185
"10465",226
"4904",4502
"149461",2
"64175",897
"79078",74
"100129924",8
"374969",46
"114625",296
"51058",198
"339539",3
"6513",282
"440584",1
"105378684",0
"440585",0
"10969",195
"102465439",0
"149465",10
"128218",0
"149466",0
"7075",636
"4352",68
"991",43
"64834",809
"102466723",0
"112950",235
"23334",4412
"102465440",0
"81888",0
"5792",769
"9682",1187
"100132774",4
"6487",964
"101929592",0
"102464830",0
"9048",5
"9670",998
"1802",104
"533",621
"8704",188
"149473",45
"6536",124
"128209",6
"105378952",0
"55929",304
"79033",303
"100874278",0
"55182",571
"100847089",0
"79639",13
"339541",61
"26828",0
"26830",0
"11004",89
"6202",1773
"26811",2
"94161",28
"94162",12
"94163",3
