"","14455.Aligned.sortedByCoord.out.bam"
"100287102",121
"653635",9708
"102466751",0
"100302278",6
"645520",18
"79501",0
"729737",13287
"102725121",112
"102723897",9161
"102465909",0
"729759",56
"100132287",12463
"105378947",1
"101928626",0
"102465432",14
"81399",56
"100133331",13750
"100288069",71
"400728",0
"79854",37
"643837",26
"284593",0
"100130417",0
"148398",11
"26155",855
"339451",83
"84069",20
"84808",9
"57801",57
"9636",20
"375790",866
"105369174",0
"105378948",0
"401934",0
"54991",60
"254099",0
"406984",0
"406983",0
"554210",0
"254173",4
"8784",56
"7293",57
"51150",773
"126792",1
"388581",1
"118424",289
"6339",35
"116983",424
"102465434",0
"126789",34
"54973",471
"102465435",0
"80772",45
"83756",17
"1855",277
"102466740",1
"54587",816
"54998",82
"81669",2512
"148413",48
"55052",270
"441869",1
"643965",0
"102724312",0
"64856",19
"219293",172
"83858",948
"55210",781
"339453",11
"29101",417
"643988",8
"142678",261
"8510",187
"984",2832
"728661",2593
"8511",183
"728642",2686
"9906",2429
"65220",767
"2782",3070
"105378949",0
"163688",1
"339456",4
"85452",2
"2563",6
"5590",88
"100506504",5
"199990",135
"105378592",13
"6497",1158
"105378594",44
"79906",95
"100129534",2
"11079",1315
"5192",70
"9651",238
"55229",460
"388585",0
"115110",1
"8764",777
"100996583",0
"127281",35
"79258",1
"100287898",2
"140625",0
"440556",6
"63976",258
"100422968",0
"27237",5
"1953",582
"693135",1
"127262",131
"49856",168
"7161",8
"57212",182
"148870",3
"388588",0
"57470",383
"9731",1034
"1677",88
"339448",484
"100133612",0
"728716",0
"284661",0
"55966",11
"100616489",0
"100616421",0
"261734",300
"8514",1026
"26038",13
"6146",3788
"102724450",0
"388591",139
"23463",212
"148645",0
"390992",0
"387509",34
"11332",487
"54626",1
"83715",9
"100422975",0
"8718",392
"57449",653
"79707",657
"80835",5
"3104",285
"9903",74
"148479",181
"90326",107
"55735",803
"100505887",0
"23261",459
"9341",433
"8863",1458
"10911",9
"3604",89
"11315",2796
"54206",1400
"102724539",0
"50651",41
"473",2336
"102724552",0
"2023",9360
"102465436",0
"100505975",0
"765",5
"155184",3
"6518",247
"80045",33
"407040",9
"9563",1346
"80176",155
"100506022",2
"84275",101
"199953",59
"5293",1932
"644997",159
"101929074",1
"22883",1900
"56998",24
"84328",253
"64802",110
"100847055",0
"105376719",0
"116362",101
"10277",2249
"23095",4870
"100422970",0
"5226",2242
"100526739",0
"378708",0
"1325",0
"1676",145
"5195",399
"54897",215
"148345",8
"23435",2219
"10747",100
"6723",213
"5394",1623
"2475",3451
"100873935",0
"10218",100
"29914",586
"57540",3
"101929181",0
"26232",11
"93611",134
"26270",135
"10459",175
"374946",3
"57085",231
"284498",0
"102724659",0
"4524",929
"1185",652
"100379251",2
"4878",17
"4879",0
"26829",1
"90231",368
"5351",2313
"9927",2089
"60672",211
"102466982",0
"943",26
"102465836",0
"7133",677
"100616438",0
"55187",10321
"677885",129
"9249",295
"102466722",0
"343066",0
"126767",0
"93190",0
"390999",0
"65121",0
"440560",0
"343069",106
"65122",0
"400735",0
"343071",0
"441871",1
"440561",0
"653606",1
"102724742",0
"101929983",0
"649330",3
"441873",0
"649324",0
"440563",4
"645354",0
"645359",0
"101060301",3
"343070",0
"400736",0
"391003",1
"343068",0
"391002",1
"645382",0
"653619",0
"729528",0
"645414",0
"391004",4
"645425",0
"126755",1
"10630",348
"7799",2765
"23254",98
"200197",0
"55092",184
"727684",253
"114827",438
"101927417",1
"79180",1775
"11330",11
"63036",9
"51032",23
"842",153
"23341",690
"79814",48
"84301",695
"6248",153
"23207",2150
"284723",10
"388595",5
"54751",471
"440567",115
"729614",0
"23013",4334
"7709",310
"101928566",0
"149563",0
"27129",51
"1187",38
"1188",21
"348487",2
"1969",408
"128272",42
"101927546",0
"79363",19
"54455",895
"26099",473
"374955",12
"55707",884
"114819",111
"26871",17
"100126512",0
"100126517",0
"102724970",4
"100133301",0
"7195",0
"55672",38756
"84809",177
"11209",213
"26869",17
"729574",5
"100126533",0
"284729",1
"100189045",0
"102723383",5
"6060",17
"11223",134
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",350
"26870",17
"4237",368
"23400",1103
"6390",1431
"11240",87
"29943",0
"51702",3
"100616188",0
"23569",15
"353238",1
"55920",1156
"55160",1781
"81569",0
"101927876",0
"84966",57
"127707",0
"5081",0
"80834",0
"8659",54
"100616120",0
"100302276",0
"126917",256
"23352",16995
"23065",1013
"51154",215
"246181",94
"22977",75
"100506730",0
"8574",844
"54896",154
"832",3213
"100532736",0
"440574",158
"644068",127
"4681",31
"3362",6
"255104",221
"54546",1
"23252",117
"30814",0
"5320",1342
"5322",62
"26279",165
"64600",0
"391013",1
"127733",5
"101928017",0
"127731",3
"339505",0
"55450",29
"79594",107
"163933",1
"978",190
"65018",552
"102464833",0
"100861548",34
"1650",1910
"57576",51
"400745",1
"50809",2817
"8672",3487
