"","12389.Aligned.sortedByCoord.out.bam"
"100287102",263
"653635",8496
"102466751",1
"100302278",30
"645520",183
"79501",65
"729737",10198
"102725121",244
"102723897",8971
"102465909",1
"729759",841
"100132287",10682
"105378947",0
"101928626",0
"102465432",16
"81399",841
"100133331",11081
"100288069",84
"400728",0
"79854",71
"643837",18
"284593",5
"100130417",0
"148398",29
"26155",1508
"339451",79
"84069",15
"84808",22
"57801",132
"9636",17
"375790",704
"105369174",0
"105378948",0
"401934",0
"54991",57
"254099",0
"406984",1
"406983",0
"554210",0
"254173",7
"8784",12
"7293",12
"51150",1146
"126792",8
"388581",4
"118424",299
"6339",34
"116983",488
"102465434",0
"126789",49
"54973",823
"102465435",0
"80772",48
"83756",19
"1855",307
"102466740",0
"54587",612
"54998",120
"81669",2914
"148413",43
"55052",435
"441869",3
"643965",1
"102724312",0
"64856",17
"219293",126
"83858",971
"55210",879
"339453",14
"29101",585
"643988",3
"142678",230
"8510",162
"984",6062
"728661",2436
"8511",159
"728642",6517
"9906",2393
"65220",838
"2782",3750
"105378949",2
"163688",4
"339456",7
"85452",13
"2563",31
"5590",50
"100506504",3
"199990",134
"105378592",17
"6497",1173
"105378594",7
"79906",174
"100129534",1
"11079",1163
"5192",58
"9651",101
"55229",450
"388585",0
"115110",1
"8764",390
"100996583",0
"127281",14
"79258",14
"100287898",3
"140625",0
"440556",8
"63976",717
"100422968",0
"27237",8
"1953",456
"693135",0
"127262",239
"49856",188
"7161",14
"57212",239
"148870",4
"388588",0
"57470",511
"9731",1514
"1677",161
"339448",391
"100133612",0
"728716",0
"284661",0
"55966",6
"100616489",0
"100616421",0
"261734",367
"8514",855
"26038",420
"6146",6400
"102724450",0
"388591",92
"23463",247
"148645",0
"390992",0
"387509",22
"11332",331
"54626",0
"83715",10
"100422975",0
"8718",158
"57449",691
"79707",902
"80835",9
"3104",270
"9903",104
"148479",187
"90326",90
"55735",990
"100505887",0
"23261",591
"9341",696
"8863",2233
"10911",14
"3604",41
"11315",4564
"54206",4570
"102724539",0
"50651",67
"473",4230
"102724552",0
"2023",14767
"102465436",0
"100505975",0
"765",2
"155184",5
"6518",161
"80045",19
"407040",10
"9563",1315
"80176",184
"100506022",0
"84275",130
"199953",51
"5293",1302
"644997",81
