"","16648.Aligned.sortedByCoord.out.bam"
"100287102",283
"653635",6931
"102466751",0
"100302278",136
"645520",322
"79501",189
"729737",10325
"102725121",254
"102723897",7026
"102465909",0
"729759",2193
"100132287",8584
"105378947",2
"101928626",0
"102465432",40
"81399",2193
"100133331",9631
"100288069",90
"400728",0
"79854",58
"643837",15
"284593",12
"100130417",0
"148398",29
"26155",757
"339451",79
"84069",33
"84808",21
"57801",97
"9636",34
"375790",738
"105369174",0
"105378948",0
"401934",0
"54991",35
"254099",2
"406984",0
"406983",0
"554210",2
"254173",21
"8784",16
"7293",2
"51150",780
"126792",2
"388581",5
"118424",284
"6339",29
"116983",267
"102465434",0
"126789",22
"54973",368
"102465435",0
"80772",37
"83756",12
"1855",220
"102466740",0
"54587",657
"54998",80
"81669",1859
"148413",35
"55052",278
"441869",1
"643965",0
"102724312",0
"64856",26
"219293",108
"83858",717
"55210",657
"339453",16
"29101",391
"643988",2
"142678",178
"8510",287
"984",3785
"728661",1459
"8511",284
"728642",3763
"9906",1437
"65220",537
"2782",2465
"105378949",0
"163688",6
"339456",6
"85452",45
"2563",12
"5590",122
"100506504",5
"199990",152
"105378592",12
"6497",1186
"105378594",2
"79906",98
"100129534",1
"11079",1256
"5192",36
"9651",149
"55229",377
"388585",1
"115110",2
"8764",396
"100996583",0
"127281",16
"79258",13
"100287898",2
"140625",4
"440556",12
"63976",453
"100422968",1
"27237",17
"1953",378
"693135",1
"127262",253
"49856",121
"7161",16
"57212",151
"148870",16
"388588",0
"57470",353
"9731",1046
"1677",120
"339448",394
"100133612",0
"728716",0
"284661",0
"55966",22
"100616489",0
"100616421",0
"261734",256
"8514",1025
"26038",121
"6146",4189
"102724450",0
"388591",101
"23463",172
"148645",0
"390992",4
"387509",17
"11332",368
"54626",1
"83715",38
"100422975",0
"8718",106
"57449",496
"79707",741
"80835",11
"3104",276
"9903",89
"148479",181
"90326",109
"55735",621
"100505887",0
"23261",651
"9341",681
"8863",3615
"10911",18
"3604",64
"11315",3202
"54206",3943
"102724539",0
"50651",89
"473",2800
"102724552",0
"2023",8916
"102465436",0
"100505975",0
"765",7
"155184",35
"6518",230
"80045",18
"407040",0
"9563",1137
"80176",165
"100506022",0
"84275",157
"199953",50
"5293",1109
"644997",67
"101929074",0
"22883",2419
"56998",33
"84328",279
"64802",150
"100847055",0
"105376719",0
"116362",151
"10277",2934
