"","14926.Aligned.sortedByCoord.out.bam"
"100287102",118
"653635",7670
"102466751",3
"100302278",14
"645520",118
"79501",19
"729737",9506
"102725121",108
"102723897",7582
"102465909",3
"729759",1105
"100132287",7946
"105378947",4
"101928626",0
"102465432",23
"81399",1105
"100133331",8197
"100288069",89
"400728",2
"79854",69
"643837",23
"284593",2
"100130417",0
"148398",27
"26155",1072
"339451",86
"84069",11
"84808",6
"57801",77
"9636",23
"375790",804
"105369174",0
"105378948",1
"401934",0
"54991",43
"254099",0
"406984",0
"406983",1
"554210",0
"254173",5
"8784",20
"7293",14
"51150",936
"126792",3
"388581",1
"118424",265
"6339",34
"116983",425
"102465434",0
"126789",38
"54973",641
"102465435",0
"80772",30
"83756",21
"1855",226
"102466740",0
"54587",889
"54998",107
"81669",2747
"148413",57
"55052",340
"441869",1
"643965",0
"102724312",0
"64856",15
"219293",128
"83858",539
"55210",515
"339453",15
"29101",503
"643988",5
"142678",209
"8510",122
"984",3946
"728661",2125
"8511",120
"728642",3952
"9906",2186
"65220",776
"2782",3032
"105378949",1
"163688",1
"339456",0
"85452",4
"2563",14
"5590",94
"100506504",1
"199990",137
"105378592",10
"6497",1423
"105378594",15
"79906",181
"100129534",2
"11079",1084
"5192",59
"9651",235
"55229",555
"388585",1
"115110",1
"8764",672
"100996583",0
"127281",30
"79258",7
"100287898",2
"140625",0
"440556",23
"63976",538
"100422968",0
"27237",17
"1953",644
"693135",0
"127262",243
"49856",161
"7161",11
"57212",176
"148870",2
"388588",1
"57470",388
"9731",1421
"1677",117
"339448",490
"100133612",0
"728716",0
"284661",0
"55966",7
"100616489",0
"100616421",0
"261734",323
"8514",1195
"26038",45
"6146",5885
"102724450",0
"388591",98
"23463",230
"148645",0
"390992",0
"387509",35
"11332",671
"54626",1
"83715",8
"100422975",0
"8718",189
"57449",580
"79707",747
"80835",6
"3104",302
"9903",129
"148479",145
"90326",148
"55735",744
"100505887",0
"23261",511
"9341",620
"8863",1973
"10911",8
"3604",92
"11315",2706
"54206",2989
"102724539",0
"50651",49
"473",3542
"102724552",0
"2023",11409
"102465436",0
"100505975",0
"765",5
"155184",0
"6518",275
"80045",11
"407040",2
"9563",958
"80176",207
"100506022",0
"84275",74
"199953",42
"5293",1454
"644997",157
"101929074",0
"22883",2815
"56998",22
"84328",468
"64802",128
"100847055",0
"105376719",0
"116362",98
"10277",3138
"23095",7073
"100422970",0
"5226",2352
"100526739",0
"378708",0
"1325",0
"1676",205
"5195",359
"54897",243
"148345",16
"23435",2644
"10747",196
"6723",164
"5394",1887
"2475",3984
"100873935",0
"10218",90
"29914",374
"57540",6
"101929181",0
"26232",3
"93611",70
"26270",74
"10459",106
"374946",3
"57085",199
"284498",0
"102724659",0
"4524",826
"1185",559
"100379251",2
"4878",12
"4879",0
"26829",2
"90231",480
"5351",2642
"9927",2279
"60672",146
"102466982",0
"943",22
"102465836",0
"7133",500
"100616438",0
"55187",15130
"677885",171
"9249",397
"102466722",0
"343066",2
"126767",0
"93190",0
"390999",2
"65121",11
"440560",61
"343069",255
"65122",7
"400735",41
"343071",5
"441871",5
"440561",78
"653606",19
"102724742",6
"101929983",57
"649330",26
"441873",92
"649324",6
"440563",40
"645354",6
"645359",84
"101060301",26
"343070",87
"400736",9
"391003",23
"343068",75
"391002",6
"645382",9
"653619",69
"729528",9
"645414",19
"391004",10
"645425",10
"126755",5
"10630",303
"7799",3564
"23254",68
"200197",1
"55092",200
"727684",336
"114827",777
"101927417",1
"79180",1280
"11330",10
"63036",17
"51032",49
"842",234
"23341",682
"79814",46
"84301",850
"6248",225
"23207",1898
"284723",6
"388595",16
"54751",588
"440567",292
"729614",2
"23013",6263
"7709",290
"101928566",1
"149563",1
"27129",184
"1187",61
"1188",26
"348487",3
"1969",400
"128272",49
"101927546",1
"79363",21
"54455",1201
"26099",453
"374955",12
"55707",1009
"114819",155
"26871",34
"100126512",0
"100126517",0
"102724970",15
"100133301",3
"7195",0
"55672",31379
"84809",167
"11209",273
"26869",34
"729574",33
"100126533",0
"284729",11
"100189045",0
"102723383",33
"6060",34
"11223",183
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",541
"26870",34
"4237",231
"23400",634
"6390",1794
"11240",88
"29943",3
"51702",0
"100616188",0
"23569",27
"353238",6
"55920",1049
"55160",1989
"81569",0
"101927876",0
"84966",157
"127707",2
"5081",3
"80834",10
"8659",62
"100616120",0
"100302276",4
"126917",374
"23352",21430
"23065",1232
"51154",164
"246181",71
"22977",102
"100506730",0
"8574",866
"54896",99
"832",4290
"100532736",0
"440574",113
"644068",53
"4681",34
"3362",10
"255104",302
"54546",0
"23252",156
"30814",0
"5320",446
"5322",127
"26279",85
"64600",6
"391013",2
"127733",4
"101928017",0
"127731",7
"339505",0
"55450",26
"79594",143
"163933",2
"978",293
"65018",666
"102464833",0
