"","16142.Aligned.sortedByCoord.out.bam"
"100287102",451
"653635",12357
"102466751",2
"100302278",6
"645520",84
"79501",10
"729737",17162
"102725121",403
"102723897",13017
"102465909",3
"729759",772
"100132287",15614
"105378947",1
"101928626",0
"102465432",56
"81399",772
"100133331",16229
"100288069",110
"400728",0
"79854",95
"643837",22
"284593",5
"100130417",0
"148398",5
"26155",1501
"339451",125
"84069",24
"84808",296
"57801",73
"9636",20
"375790",975
"105369174",0
"105378948",0
"401934",0
"54991",85
"254099",0
"406984",0
"406983",0
"554210",0
"254173",6
"8784",19
"7293",11
"51150",1218
"126792",6
"388581",6
"118424",291
"6339",82
"116983",548
"102465434",0
"126789",62
"54973",918
"102465435",0
"80772",72
"83756",60
"1855",495
"102466740",0
"54587",1487
"54998",165
"81669",3565
"148413",90
"55052",503
"441869",7
"643965",0
"102724312",1
"64856",34
"219293",192
"83858",1209
"55210",1093
"339453",13
"29101",573
"643988",4
"142678",437
"8510",64
"984",6318
"728661",3851
"8511",64
"728642",5917
"9906",3704
"65220",1060
"2782",4456
"105378949",1
"163688",8
"339456",40
"85452",3
"2563",19
"5590",199
"100506504",6
"199990",199
"105378592",15
"6497",1812
"105378594",63
"79906",226
"100129534",3
"11079",1550
"5192",86
"9651",359
"55229",817
"388585",1
"115110",2
"8764",978
"100996583",2
"127281",48
"79258",6
"100287898",7
"140625",0
"440556",7
"63976",487
"100422968",0
"27237",23
"1953",868
"693135",0
"127262",367
"49856",267
"7161",18
"57212",334
"148870",5
"388588",3
"57470",618
"9731",1937
"1677",194
"339448",548
"100133612",0
"728716",0
"284661",0
"55966",9
"100616489",0
"100616421",0
"261734",417
"8514",1945
"26038",20
"6146",8704
"102724450",0
"388591",113
"23463",278
"148645",1
"390992",0
"387509",18
"11332",575
"54626",0
"83715",25
"100422975",0
"8718",222
"57449",629
"79707",957
"80835",3
"3104",434
"9903",202
"148479",231
"90326",146
"55735",1107
"100505887",0
"23261",693
"9341",751
"8863",2813
"10911",21
"3604",76
"11315",4491
"54206",3393
"102724539",0
"50651",75
"473",4997
"102724552",1
"2023",13549
"102465436",0
"100505975",0
"765",4
"155184",3
"6518",490
"80045",35
"407040",11
"9563",1670
"80176",165
"100506022",0
"84275",147
"199953",76
"5293",2447
"644997",198
"101929074",0
"22883",3691
"56998",38
"84328",442
"64802",155
"100847055",0
"105376719",1
"116362",91
"10277",4486
"23095",11737
"100422970",0
"5226",2573
"100526739",0
"378708",0
"1325",1
"1676",274
"5195",633
"54897",417
"148345",14
"23435",4010
"10747",213
"6723",297
"5394",2733
"2475",5229
"100873935",2
"10218",496
"29914",966
"57540",12
"101929181",0
"26232",12
"93611",168
"26270",147
"10459",238
"374946",3
"57085",285
"284498",4
"102724659",0
"4524",1237
"1185",943
"100379251",3
"4878",19
"4879",1
"26829",6
"90231",718
"5351",3742
"9927",3680
"60672",255
"102466982",0
"943",25
"102465836",0
"7133",845
"100616438",0
"55187",17944
"677885",153
"9249",557
"102466722",0
"343066",0
"126767",0
"93190",0
"390999",0
"65121",2
"440560",36
"343069",354
"65122",3
"400735",33
"343071",1
"441871",3
"440561",41
"653606",0
"102724742",6
"101929983",33
"649330",18
"441873",39
"649324",10
"440563",22
"645354",10
"645359",33
"101060301",18
"343070",38
"400736",10
"391003",1
"343068",41
"391002",3
"645382",0
"653619",29
"729528",11
"645414",1
"391004",2
"645425",7
"126755",2
"10630",420
"7799",5203
"23254",225
"200197",4
"55092",213
"727684",358
"114827",1983
"101927417",0
"79180",2502
"11330",17
"63036",31
"51032",52
"842",256
"23341",1028
"79814",40
"84301",1402
"6248",297
"23207",3039
"284723",6
"388595",7
"54751",305
"440567",591
"729614",0
"23013",8587
"7709",516
"101928566",0
"149563",0
"27129",492
"1187",55
"1188",22
"348487",2
"1969",548
"128272",45
