"","14915.Aligned.sortedByCoord.out.bam"
"100287102",161
"653635",7367
"102466751",3
"100302278",18
"645520",242
"79501",42
"729737",14414
"102725121",147
"102723897",7533
"102465909",3
"729759",708
"100132287",11293
"105378947",1
"101928626",0
"102465432",34
"81399",708
"100133331",12550
"100288069",52
"400728",0
"79854",57
"643837",17
"284593",12
"100130417",0
"148398",14
"26155",768
"339451",89
"84069",11
"84808",8
"57801",55
"9636",17
"375790",993
"105369174",0
"105378948",0
"401934",0
"54991",50
"254099",0
"406984",0
"406983",0
"554210",0
"254173",2
"8784",15
"7293",13
"51150",551
"126792",6
"388581",7
"118424",144
"6339",48
"116983",337
"102465434",0
"126789",23
"54973",392
"102465435",1
"80772",35
"83756",12
"1855",237
"102466740",0
"54587",650
"54998",76
"81669",1791
"148413",38
"55052",228
"441869",1
"643965",0
"102724312",0
"64856",24
"219293",130
"83858",815
"55210",728
"339453",11
"29101",321
"643988",0
"142678",199
"8510",119
"984",2677
"728661",1528
"8511",116
"728642",1976
"9906",1379
"65220",488
"2782",2494
"105378949",3
"163688",2
"339456",3
"85452",9
"2563",23
"5590",53
"100506504",3
"199990",103
"105378592",8
"6497",1132
"105378594",16
"79906",94
"100129534",3
"11079",849
"5192",58
"9651",60
"55229",316
"388585",0
"115110",5
"8764",550
"100996583",0
"127281",40
"79258",13
"100287898",1
"140625",0
"440556",13
"63976",460
"100422968",0
"27237",18
"1953",632
"693135",1
"127262",167
"49856",138
"7161",9
"57212",144
"148870",9
"388588",3
"57470",289
"9731",869
"1677",99
"339448",282
"100133612",1
"728716",0
"284661",0
"55966",9
"100616489",0
"100616421",0
"261734",229
"8514",891
"26038",33
"6146",3206
"102724450",1
"388591",98
"23463",143
"148645",0
"390992",0
"387509",26
"11332",367
"54626",0
"83715",13
"100422975",0
"8718",116
"57449",490
"79707",497
"80835",5
"3104",286
"9903",62
"148479",125
"90326",110
"55735",646
"100505887",0
"23261",422
"9341",458
"8863",3253
"10911",13
"3604",82
"11315",2604
"54206",2320
"102724539",0
"50651",36
"473",2059
"102724552",2
"2023",7869
"102465436",0
"100505975",0
"765",4
"155184",9
"6518",179
"80045",11
"407040",11
"9563",874
"80176",139
"100506022",0
"84275",102
"199953",50
"5293",943
"644997",89
"101929074",0
"22883",1491
"56998",30
"84328",196
"64802",86
"100847055",0
"105376719",0
"116362",73
"10277",2004
"23095",5665
