"","12954.Aligned.sortedByCoord.out.bam"
"100287102",93
"653635",5928
"102466751",2
"100302278",12
"645520",135
"79501",56
"729737",7532
"102725121",78
"102723897",6283
"102465909",3
"729759",621
"100132287",6956
"105378947",3
"101928626",0
"102465432",17
"81399",621
"100133331",7160
"100288069",50
"400728",0
"79854",51
"643837",5
"284593",0
"100130417",0
"148398",14
"26155",659
"339451",80
"84069",13
"84808",8
"57801",72
"9636",6
"375790",682
"105369174",0
"105378948",0
"401934",0
"54991",39
"254099",0
"406984",0
"406983",0
"554210",0
"254173",8
"8784",13
"7293",20
"51150",670
"126792",4
"388581",3
"118424",164
"6339",19
"116983",309
"102465434",0
"126789",22
"54973",493
"102465435",0
"80772",42
"83756",18
"1855",207
"102466740",1
"54587",499
"54998",75
"81669",2072
"148413",41
"55052",272
"441869",3
"643965",0
"102724312",0
"64856",16
"219293",85
"83858",591
"55210",468
"339453",20
"29101",325
"643988",4
"142678",219
"8510",38
"984",3183
"728661",1809
"8511",37
"728642",2769
"9906",1739
"65220",847
"2782",2534
"105378949",0
"163688",2
"339456",0
"85452",4
"2563",12
"5590",81
"100506504",2
"199990",115
"105378592",6
"6497",1129
"105378594",14
"79906",99
"100129534",0
"11079",840
"5192",38
"9651",214
"55229",413
"388585",0
"115110",0
"8764",609
"100996583",0
"127281",45
"79258",10
"100287898",2
"140625",0
"440556",13
"63976",404
"100422968",0
"27237",9
"1953",625
"693135",0
"127262",178
"49856",126
"7161",8
"57212",184
"148870",8
"388588",0
"57470",324
"9731",839
"1677",113
"339448",288
"100133612",0
"728716",0
"284661",0
"55966",11
"100616489",0
"100616421",0
"261734",238
"8514",1161
"26038",58
"6146",4419
"102724450",0
"388591",75
"23463",114
"148645",1
"390992",1
"387509",15
"11332",401
"54626",0
"83715",8
"100422975",0
"8718",161
"57449",392
"79707",468
"80835",6
"3104",280
"9903",111
"148479",108
"90326",110
"55735",545
"100505887",0
"23261",349
"9341",451
"8863",1295
"10911",13
"3604",64
"11315",1969
"54206",1727
"102724539",0
"50651",58
