"","14931.Aligned.sortedByCoord.out.bam"
"100287102",152
"653635",10677
"102466751",2
"100302278",6
"645520",64
"79501",12
"729737",13669
"102725121",147
"102723897",10759
"102465909",2
"729759",1036
"100132287",13811
"105378947",2
"101928626",0
"102465432",41
"81399",1036
"100133331",15369
"100288069",62
"400728",0
"79854",57
"643837",20
"284593",0
"100130417",0
"148398",12
"26155",961
"339451",75
"84069",10
"84808",23
"57801",123
"9636",22
"375790",693
"105369174",0
"105378948",0
"401934",0
"54991",46
"254099",0
"406984",0
"406983",0
"554210",0
"254173",6
"8784",8
"7293",9
"51150",850
"126792",9
"388581",2
"118424",179
"6339",60
"116983",429
"102465434",0
"126789",28
"54973",588
"102465435",0
"80772",47
"83756",25
"1855",292
"102466740",0
"54587",841
"54998",76
"81669",2361
"148413",44
"55052",312
"441869",3
"643965",0
"102724312",0
"64856",33
"219293",106
"83858",855
"55210",726
"339453",15
"29101",466
"643988",6
"142678",285
"8510",165
"984",4209
"728661",1838
"8511",161
"728642",4229
"9906",1747
"65220",627
"2782",3343
"105378949",0
"163688",0
"339456",0
"85452",0
"2563",17
"5590",109
"100506504",5
"199990",137
"105378592",16
"6497",1645
"105378594",17
"79906",145
"100129534",2
"11079",1046
"5192",47
"9651",186
"55229",399
"388585",0
"115110",0
"8764",546
"100996583",0
"127281",42
"79258",3
"100287898",3
"140625",0
"440556",30
"63976",730
"100422968",0
"27237",9
"1953",587
"693135",0
"127262",259
"49856",171
"7161",10
"57212",227
"148870",2
"388588",2
"57470",366
"9731",1311
"1677",129
"339448",414
"100133612",0
"728716",0
"284661",0
"55966",13
"100616489",0
"100616421",0
"261734",243
"8514",783
"26038",32
"6146",5575
"102724450",0
"388591",129
"23463",169
"148645",0
"390992",0
"387509",24
"11332",275
"54626",0
"83715",6
"100422975",0
"8718",148
"57449",881
"79707",665
"80835",9
"3104",288
"9903",91
"148479",209
"90326",128
"55735",766
"100505887",0
"23261",577
"9341",676
"8863",3112
"10911",11
"3604",58
"11315",3302
"54206",2922
"102724539",0
"50651",61
"473",3820
"102724552",0
"2023",6351
"102465436",0
"100505975",0
"765",6
"155184",1
"6518",141
"80045",12
"407040",21
"9563",1147
"80176",206
"100506022",0
"84275",177
"199953",51
"5293",1467
"644997",53
"101929074",0
"22883",2859
"56998",28
"84328",333
"64802",105
"100847055",1
"105376719",0
"116362",56
"10277",2854
"23095",7743
"100422970",0
"5226",1991
"100526739",0
"378708",0
"1325",0
"1676",191
"5195",637
"54897",290
"148345",13
"23435",2801
"10747",79
"6723",170
"5394",2035
"2475",3567
"100873935",1
"10218",177
"29914",791
"57540",3
"101929181",0
"26232",9
"93611",86
"26270",102
"10459",149
"374946",0
"57085",138
"284498",0
"102724659",0
"4524",694
"1185",695
"100379251",0
"4878",20
"4879",2
"26829",2
"90231",480
"5351",2406
"9927",2583
"60672",184
"102466982",0
"943",15
"102465836",0
"7133",728
"100616438",0
"55187",13282
"677885",144
"9249",505
"102466722",0
"343066",1
"126767",0
"93190",0
"390999",0
"65121",8
"440560",40
"343069",272
"65122",4
"400735",35
"343071",6
"441871",3
"440561",44
"653606",0
"102724742",5
"101929983",38
"649330",6
"441873",45
"649324",2
"440563",20
"645354",2
"645359",43
"101060301",6
"343070",37
"400736",8
"391003",4
"343068",46
"391002",4
"645382",5
"653619",43
"729528",6
"645414",7
"391004",8
"645425",10
"126755",0
"10630",242
"7799",4346
"23254",93
"200197",0
"55092",175
"727684",193
"114827",132
"101927417",0
"79180",1268
"11330",4
"63036",20
"51032",38
"842",188
"23341",717
"79814",17
"84301",794
"6248",182
"23207",2057
"284723",3
"388595",10
"54751",672
"440567",289
"729614",1
"23013",7504
"7709",302
"101928566",1
"149563",0
"27129",107
"1187",20
"1188",22
"348487",5
"1969",526
"128272",27
"101927546",0
"79363",13
"54455",1134
"26099",583
"374955",15
"55707",707
"114819",166
"26871",16
"100126512",0
"100126517",0
"102724970",8
"100133301",0
"7195",0
"55672",50862
"84809",186
"11209",165
"26869",16
"729574",7
"100126533",0
"284729",2
"100189045",0
"102723383",7
"6060",16
"11223",103
"100500876",0
"100189298",0
"7193",0
"791226",0
"9696",650
"26870",16
"4237",437
"23400",817
"6390",1532
"11240",111
"29943",0
"51702",1
"100616188",0
"23569",20
"353238",0
"55920",961
"55160",1783
"81569",0
"101927876",0
"84966",111
"127707",2
"5081",1
"80834",1
"8659",123
"100616120",0
"100302276",0
"126917",364
"23352",17492
"23065",1113
"51154",165
"246181",73
"22977",60
"100506730",1
"8574",817
"54896",71
"832",3215
"100532736",0
"440574",125
"644068",62
"4681",27
"3362",1
"255104",243
"54546",0
"23252",156
"30814",1
"5320",2008
"5322",155
"26279",188
"64600",0
"391013",0
"127733",7
"101928017",0
"127731",3
"339505",0
"55450",35
"79594",120
"163933",3
"978",105
"65018",762
"102464833",0
"100861548",27
"1650",1734
"57576",92
"400745",0
"50809",3818
"8672",4286
"100302155",0
"1889",4590
"100506801",13
"84224",1616
"249",129
"5909",13
"84196",2994
"401944",52
"3339",34437
"23436",7
"10136",7
"101928043",0
"29092",1
"998",3050
"54361",66
"100616433",0
"9923",3524
"2046",0
"102466615",0
"712",8021
"714",3646
"713",7293
"2048",576
